编号	标题	名字	表情	内容
		少年	4	等一下，在说之前让我确认下有没有人在偷听。
		苏暖暖	4	到底什么事啊这么神神叨叨的。
		少年	3	我在你身上发现了魔法元素！
		苏暖暖	6	（惊）诶诶诶？！
		少年	3	一开始我也很惊奇，没想到在这个世界上还有与我一样拥有魔法天赋的人。
		少年	3	但是在看了你的表演之后我更加笃定了自己的猜想——我们果然就是一类人！
		苏暖暖	4	听起来……好像很酷诶。
		少年	3	是的，尤其是我在附近发现了暗黑魔法师的踪迹之后。
		苏暖暖	4	暗黑……魔法师？
		少年	3	就在这家餐厅向东1000米处，每天正午路过时我都会闻到一股焦味。
		少年	3	但是附近没有人用火，所以一定是火系暗黑魔法师在作怪。
		苏暖暖	4	所以我们要去阻止他吗？
		少年	3	先不急，在与他决斗之前要先摸清他的踪迹。
		少年	3	所以明天中午11点还是在这里等你，我们一起去揭开暗黑魔法师的真面目！
		苏暖暖	2	好令人期待！
		少年	3	所以穿着必须低调，我们不能让他注意到我们的存在。
		苏暖暖	2	明白了！
89	Pink Fantasy3	苏暖暖	2	今天太阳好好哦，难得冬天这么暖和。
		少年	4	嘘……你看那里。
		苏暖暖	6	木头着火了！
		少年	4	轻点！
		苏暖暖	4	木头……着火了……
		少年	1	是吧，明明周围没有别人。
		苏暖暖	4	对啊，这个时候这里好安静，几乎都在午休诶。
		少年	1	前几天不过是一点点焦味而已，今天居然就起火了，真是太嚣张了，无法原谅！
		苏暖暖	4	赶紧去救火吧！
		少年	1	不，凭我们现在的实力是无法打到暗黑魔法师的，现在过去只是打草惊蛇。
		苏暖暖	4	那怎么办？
		少年	2	走，先教你几招简单的魔法口诀。
		少年	2	不过穿着日常装有点不方便，换件宽松点的衣服吧，能让全身心得到放松。
90	登山	苏暖暖	1	我要去登山！
		大喵	4	为什么？登山可是很累的呀。
		苏暖暖	1	刚看了攀登珠穆朗玛峰的纪录片。登山者穿的衣服好帅……
		大喵	4	你去登山的话用不着那种衣服好吗……
		苏暖暖	4	我不管！我就要穿厚厚的裹得很严实的登山装！
		大喵	2	我建议你还是穿轻快点的衣服……不要高跟鞋就可以了。
		苏暖暖	4	这次我就不听你的！
		大喵	2	走着瞧！看评价的结果吧，哼哼哼。
91	Pink Fantasy4	少年	1	总觉得我们的行踪被暗黑魔法师发现了。
		苏暖暖	3	那怎么办？
		少年	1	尽快解决这个事件。
		苏暖暖	3	可是找到线索的地方被施工队封锁了诶。
		少年	3	只有一个办法，那就是打扮成工人的样子潜伏进去！
		苏暖暖	6	什、什么？！这也太乱来了吧……
		少年	3	为了防止世界被破坏，也只有这个办法了！
		苏暖暖	6	我也要混进去吗？
		少年	3	当然！因为不知道暗黑魔法师的实力，所以我和你联手才是最保险的。
		苏暖暖	3	但是我还不确定自己是不是能使用魔法诶。
		少年	3	没关系，我们只是去侦查一下。明天11点前换好衣服，我们在这里接头！
92	Pink Fantasy5	大喵	2	神神叨叨了这么多天，消灭那什么暗黑魔法师了吗？
		苏暖暖	3	什么线索都没发现。但是施工队好奇怪诶，他们在给一块哈哈镜装铁皮。
		大喵	5	哈、哈哈镜？你是说大马路上的有哈哈镜？
		苏暖暖	3	反正就是类似哈哈镜一样的东西啦。
		苏暖暖	4	你看，就是那个哈哈镜。
		大喵	5	我真是不明白明明从外面就可以看到他们在施工什么东西，
		大喵	5	你们为什么还要打扮得这么可疑混进去。
		苏暖暖	4	……又不是我的主意。
		大喵	2	难道不是你同意的吗！
		苏暖暖	4	因为站在外面不能发现暗黑魔法师啊。
		大喵	2	好了好了，给我带完路你也就没什么用处了，别杵在这里妨碍我思考问题。
		大喵	2	还有你怎么把那玩意叫哈哈镜啊，果然是被低智商之神眷顾的人吗！
		苏暖暖	4	不是哈哈镜是什么，你看人一走过去镜子里面就变扭曲了。
		大喵	3	我已经不知道该怎么说你好了，既然智商这么低就不要搅入乱七八糟的事嘛。
		大喵	3	快找你的同类去，离我这么近万一把低智商传染给我怎么办。
		暖暖	3	说话太过分了啦。
		大喵	3	去去去，换件漂亮点的衣服去。
93	Pink Fantasy6	苏暖暖	3	唉。
		少年	3	不要沮丧，依我所见暗黑魔法师一定是在施工队里！
		苏暖暖	3	大喵说我是被低智商之神眷顾的人……
		少年	4	呃……大喵是谁？
		苏暖暖	3	是我养的一只猫啦。
		少年	4	你果然是我要寻找的魔法师！只有魔法师才会养会说话的猫！
		苏暖暖	1	是、是吗！你这个样子说的话我也稍微有点自信了。
		少年	3	你是被我选中的人，一定要有自信！
		少年	3	这样吧，为了计划能够顺利进行，一会我们来试验下你惊人的魔法天赋。
		苏暖暖	1	怎么试验！
		少年	3	换上法师袍，然后吟诵我那天教你的水系发咒。
		少年	3	只要成功，一定能打败那个火系法师！
94	Pink Fantasy7	苏暖暖	3	大喵，我是不是真的很笨啊。
		大喵	3	现在才发现不是太迟了吗！
		苏暖暖	3	明明已经记住了水系发咒并且穿上了法师袍，为什么魔法试验还是会失败啊。
		大喵	3	看来低智商之神已经爱上你了。
		苏暖暖	3	这个时候你应该安慰一下我才对。
		大喵	2	看在你这么可怜的份上我再发次慈悲好了，快带我去你们学校。
		苏暖暖	3	诶，你也会使用魔法吗？
		大喵	2	救命……求求你不要再说这样的话了。
		学校		暖暖带大喵去了学校。 
		苏暖暖	4	这不是物理试验室吗？难道这里的魔法元素特别强吗？
		大喵	2	（果然被低智商之神眷恋已久）
		苏暖暖	4	不过你带我来这里干什么？
		大喵	2	揭开暗黑魔法师神秘的面纱。
		苏暖暖	6	（惊）你说暗黑魔法师在这里？！莫非大喵你要亲自打败他！
		大喵	3	别做白日梦了好吗，其实只有这里才有器材诶。
		苏暖暖	1	快点快点，大喵快点打败暗黑魔法师，我都有点迫不及待你们的决斗了。
		大喵	3	我真希望你能够回炉重造。
		苏暖暖	3	所以真相呢！
		大喵	3	你不如去换件侦探服，等我向你演示真相后你好向你那二缺同类耍个酷。
95	Pink Fantasy8	少年	4	诶，不是说好继续练习魔法的吗，怎么穿成这样？
		苏暖暖	5	其实……根本就不存在什么暗黑魔法师啦。
		少年	4	怎么突然……
		苏暖暖	5	烟味和着火完全是因为那个玻璃墙的建筑上的凸透镜。
		苏暖暖	5	凸透镜聚焦阳光引发的起火，很简单的自然现象嘛。
		苏暖暖	5	现在施工队已经把错装的凸透镜换掉了！
		少年	4	听起来……好像很复杂的样子。但是，真的和魔法无关吗！
		苏暖暖	5	好像真的没什么关系诶。
		少年	1	但是……
		大喵	4	我猜他一定是找不到借口和你约会才会这么沮丧。
		少年	1	！！！
		苏暖暖	1	大喵你怎么在这里。
		大喵	4	我来好久了你都没察觉吗，不过暖暖本来就反应迟钝这也是没办法的事。
		大喵	4	喂，二缺少年，以后不能用学魔法约暖暖了可怎么办呐……
		少年	3	哼，我有很多办法！比如……暖暖，明天一起去看电影吗？魔女大战僵尸！
		苏暖暖	4	诶？可是明天学校有舞会啊……
		少年	3	我也可以去啊！
		苏暖暖	4	非本校学生不可以去的啦。
		少年	3	我可以转学啊！
		苏暖暖	4	我该穿什么去舞会呢……
		少年	1	她好像思考的很认真的样子，完全没有在意我的存在……
96	Nikki UP2U Ⅱ	苏暖暖	5	制作组让我给大家带个话。
		大喵	5	什么？这种严肃的氛围好不习惯……
		苏暖暖	2	就是感谢各位玩家的厚爱！！！Nikki UP2U Ⅱ已经在紧张制作中了！！
		大喵	5	你不要紧张……
		苏暖暖	2	怎么样，我表现得不错吧？
		大喵	2	穿着校服表达感谢不大合适吧……
		苏暖暖	6	啊！糟了！忘记换衣服了！等等重来一遍吧！
		大喵	2	感觉让你做新闻发言人是个错误的决定……
