	1100	1101	1102	1103	1104	1105	1106	1107	1108	1109	2100	2101	2102	2103	2104	2105	2106	2107	2108	2109	2110	2111	2112	2113	2114	3100	3101	3102	3103	3104	3105	3106	3107	3108	3109	3110	3111	3112	3113	4100	4101	4102	4103	4104	4105	4106	4107	4108	4109	4110	4111	4112	4113	4114	4115	4116	4117	4118	4119	4120	4121	4122	4123	5100	5101	5102	5103	5104	5105	5106	5107	5108	5109	5110	5111	5112	5113	5114	5115	5116	5117	5118	5119	5120	5121	5122	5123	5124	5125	5126	6100	6101	6102	6103	7100	7101	7102	7103	7104	8100	8101	8102	8103	8104	8105	8106	8107	8108	8109	8110	8111	8112	8113	8114	8115	8116	8117	8118
40	A	A	F	F	A	F	A	A	A	A	B	A	C	A	C	F	C	C	B	F	A	C	B	C	C	A	B	F	C	F	F	B	F	B	F	F	F	C	F	A	C	C	B	C	C	C	C	B	B	C	B	B	B	C	B	B	C	C	C	B	C	C	C	F	C	C	C	B	C	B	C	C	C	C	B	C	B	B	B	C	B	C	B	B	C	C	C	C	B	C	B	B	C	C	B	B	B	B	B	F	F	F	×	F	B	F	C	F	F	F	F	F	C	C	C	F	C	F
41	A	B	A	A	B	A	A	B	A	A	C	F	C	F	C	B	B	B	A	B	B	B	B	B	B	C	A	C	B	B	C	A	B	A	C	C	C	A	C	C	C	C	B	C	A	A	A	A	B	A	A	A	C	A	B	A	B	A	A	A	A	A	A	F	C	C	B	A	A	A	A	C	A	A	A	A	A	A	A	A	B	B	C	A	B	A	A	A	A	B	A	A	A	A	B	B	B	B	B	F	F	F	×	F	A	F	C	C	C	F	F	B	C	C	C	B	A	F
42	A	A	C	C	B	B	A	A	B	A	F	C	C	C	A	A	A	A	A	A	A	B	B	A	A	A	B	C	C	F	C	B	B	A	C	C	C	B	C	A	C	C	B	C	A	B	C	A	B	A	A	A	B	A	B	A	A	C	B	A	B	A	C	F	C	C	A	B	A	A	B	C	A	B	A	B	B	B	A	C	B	C	A	B	C	B	C	C	A	B	A	A	A	A	A	C	A	A	B	F	F	F	×	F	A	F	F	F	C	A	C	C	F	F	F	C	B	F
43	A	A	B	B	A	A	A	A	A	A	F	F	F	F	C	B	B	B	A	B	F	B	B	B	B	C	B	C	B	F	C	B	A	B	C	C	C	B	F	C	C	C	C	C	A	C	A	A	B	A	A	A	B	A	C	A	B	A	B	A	A	A	B	F	C	C	A	A	A	A	B	C	A	C	A	C	B	A	A	A	B	B	C	C	B	B	A	A	A	A	A	A	A	B	B	B	B	A	C	F	F	F	×	F	B	F	A	C	C	F	F	F	A	A	A	F	C	F
44	A	A	A	B	A	A	A	A	A	A	F	F	B	F	A	B	B	B	B	B	C	B	F	B	B	F	B	C	A	F	C	B	A	C	C	C	C	B	C	F	A	C	B	A	A	B	A	B	B	A	A	A	B	A	B	B	B	A	C	B	A	A	C	F	A	A	A	B	C	C	B	B	B	F	C	F	B	A	C	B	B	B	C	C	A	B	B	B	A	B	A	A	A	C	C	A	C	B	B	F	F	F	×	F	C	F	B	F	C	F	C	F	B	B	B	B	C	F
45	A	A	F	F	C	C	A	A	A	A	F	A	C	A	C	B	B	B	C	B	B	F	B	C	C	A	C	C	C	F	C	C	C	B	F	F	F	C	F	A	C	C	A	C	C	B	C	C	C	C	C	C	B	C	A	C	B	C	C	C	C	C	C	F	C	C	B	C	B	C	C	C	C	B	C	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	A	A	A	A	A	B	A	B	A	F	F	F	×	F	B	F	F	F	F	A	C	C	F	F	F	C	C	F
46	B	A	B	B	A	A	A	A	A	A	F	F	B	F	C	B	B	B	A	B	B	B	B	B	B	B	A	C	A	C	C	A	A	A	C	C	C	A	C	B	C	C	B	C	A	C	A	A	B	A	A	A	B	A	B	A	B	A	A	A	A	A	A	F	C	C	A	A	A	A	A	C	A	A	A	A	A	A	A	A	C	C	C	A	B	B	A	A	A	B	C	C	C	F	B	A	B	A	B	F	F	F	×	F	A	F	F	C	C	F	C	A	F	F	F	C	A	F
47	B	A	C	C	A	A	A	B	A	A	F	F	B	F	C	B	B	B	A	B	C	B	B	B	B	F	B	F	B	C	F	B	C	C	F	F	F	C	F	F	C	C	C	C	A	B	A	A	B	A	A	A	B	A	C	A	B	A	C	A	A	A	C	F	C	C	A	A	A	A	C	C	A	C	A	C	F	A	A	A	C	B	C	C	B	C	A	A	A	B	A	A	A	A	B	B	B	B	C	F	F	F	×	F	C	F	A	F	F	F	C	C	A	A	A	F	C	F
48	A	A	A	A	A	A	A	B	A	A	F	F	B	F	C	B	A	A	A	B	F	B	B	B	B	F	F	F	A	B	F	F	C	C	F	F	F	B	F	F	A	C	C	A	C	C	C	A	C	C	C	C	B	C	C	A	A	C	B	A	A	C	B	F	A	A	F	F	F	F	B	C	C	F	F	F	C	C	F	C	C	B	F	C	A	C	C	C	F	B	C	C	C	F	C	B	C	C	C	F	F	F	×	F	C	F	F	C	C	F	C	A	F	F	F	F	B	F
49	B	A	A	B	A	A	A	C	A	A	F	A	A	A	C	B	B	B	A	B	A	B	B	B	B	A	A	C	C	C	C	A	B	A	C	C	C	A	F	A	C	C	A	C	A	A	A	A	B	A	A	A	A	A	A	A	B	A	B	A	A	A	A	F	C	C	A	B	A	A	C	C	A	B	A	B	A	B	A	C	B	B	A	A	C	B	C	C	A	B	A	A	A	A	A	B	A	B	A	F	F	F	×	F	A	F	C	C	C	C	C	B	C	C	C	C	A	F
50	A	A	C	C	C	B	A	A	A	A	A	A	C	A	C	B	B	B	C	B	C	F	B	C	C	B	B	C	B	F	C	B	A	A	C	C	C	B	C	B	C	C	B	C	C	C	C	C	C	C	C	C	B	C	B	C	B	C	C	C	C	C	C	F	C	C	B	C	B	C	C	C	C	C	C	C	B	C	C	C	C	C	C	C	C	C	C	C	C	B	A	A	A	A	A	C	A	B	B	F	F	F	×	F	A	F	F	F	C	A	C	C	F	F	F	C	C	F
51	B	A	F	F	A	C	A	A	A	A	F	F	F	F	F	F	F	F	F	F	C	F	F	F	F	C	F	F	F	F	F	F	C	B	C	C	F	C	F	C	F	F	C	F	F	B	F	F	F	F	C	C	F	F	C	F	F	F	C	F	B	F	F	F	F	F	B	A	B	A	F	C	B	B	A	B	F	C	A	B	F	F	B	C	B	C	B	B	C	C	A	A	A	A	A	C	A	C	C	F	F	F	×	F	B	F	F	C	F	F	C	A	F	F	F	F	C	F
52	B	A	C	C	A	C	A	B	A	A	B	C	C	C	B	A	A	A	B	A	A	C	F	A	A	A	B	C	F	F	C	B	C	B	C	C	C	C	F	A	C	C	B	C	B	C	B	B	B	A	B	B	A	B	B	B	A	B	C	B	B	B	F	F	C	C	A	B	A	A	F	C	A	C	A	C	C	B	A	C	C	F	A	C	C	C	C	C	A	C	A	A	B	C	A	B	A	C	B	F	F	F	×	F	B	F	F	F	C	A	C	C	F	F	F	C	C	F
53	A	A	A	B	A	A	A	B	A	A	F	F	C	F	A	A	A	A	A	A	F	A	B	A	A	C	B	C	B	C	C	B	B	C	C	C	C	B	C	C	B	C	C	B	A	C	A	A	B	A	A	A	C	A	C	A	A	A	B	A	A	A	B	F	B	B	A	B	A	A	B	A	A	A	A	A	B	A	A	A	B	B	C	C	A	B	A	A	A	B	C	C	C	F	B	B	B	B	C	F	F	F	×	F	C	F	F	C	C	F	C	A	F	F	F	B	C	F
54	B	A	B	B	B	A	A	C	B	A	B	F	C	F	C	B	B	B	A	B	A	B	B	B	B	B	A	C	C	C	C	A	B	A	C	C	C	A	C	B	C	C	A	C	A	B	A	A	B	A	A	A	B	A	A	A	B	A	B	A	A	A	A	F	C	C	A	A	A	A	B	C	A	B	A	B	A	A	A	A	B	B	C	A	B	B	A	A	A	B	A	A	A	A	B	B	B	C	A	F	F	F	×	F	A	F	C	C	B	F	F	B	C	C	C	C	A	F
55	A	A	B	B	A	B	A	C	A	A	F	F	C	F	A	A	A	A	A	A	C	A	B	A	A	C	B	F	B	F	F	B	A	C	C	C	F	B	F	C	B	C	C	B	A	C	A	A	B	A	A	A	A	A	C	A	A	A	C	A	A	A	C	F	B	B	A	A	A	A	B	C	B	C	A	C	C	A	A	A	B	A	C	C	B	C	A	A	A	A	F	F	B	B	B	C	B	A	C	F	F	A	×	A	C	F	C	B	B	F	C	F	C	C	C	F	C	F
