编号	标题	名字	表情	内容
		苏暖暖	3	那……还是牛仔好了。
		大喵	2	牛仔在油菜花田里会显得很生硬的……
		苏暖暖	1	所以要既柔软又鲜艳还不能是黄色系的衣服吗……
14	晚礼服光辉下的幸运儿③	姐姐	2	两天后有化妆晚会呢，来帮我看看有什么衣服吧。
		苏暖暖	4	诶，不是说好一起去逛街的吗？
		姐姐	2	哎呀，可是我突然想起有个化妆舞会嘛，就帮我先看下衣服好了。
		苏暖暖	6	（这种理所当然的既视感是怎么回事……）。
		姐姐	2	你看你不是自己先买了一套了吗？
		苏暖暖	3	那是我觉得那家服装店真的很不错所以就忍不住了
		姐姐	2	所以就陪我去参加化妆晚会吧！
		苏暖暖	3	所以……我也要帮自己挑一套吗？
		姐姐	1	嗯，我穿上晚礼服果然是高贵无比。暖暖，有没有觉得我的衣服很好看？
		苏暖暖	3	好看是好看，可是为什么参加化妆舞会要穿晚礼服呢。我挑一套别致点的吧……
15	民国什么的也很有爱	苏暖暖	2	最喜欢年代剧了！
		大喵	2	我发现你每次都会用“最喜欢”，实际上你每样东西都是“最喜欢”……
		苏暖暖	3	可是真的很有爱嘛……你看那种有特殊气质的年代感……
		大喵	2	（好酸）。
		苏暖暖	1	我要穿着民国的衣服去周庄转一圈！
		大喵	3	（终于准备穿越了吗……）。
16	技能交换	苏暖暖	1	现在很流行技能交换呢……我也去豆瓣上找个人交换交换技能好了。
		大喵	2	你会什么？
		苏暖暖	2	姐姐折纸不要太厉害！给我张纸什么都能折出来！
		大喵	3	……
		苏暖暖	2	啊！有人找我了！说是教我游泳！
		大喵	2	色狼吧……
		苏暖暖	2	啊！又有人找我了！说是教我DOTA！
		大喵	4	这个可以啊。
		苏暖暖	3	噗噗，可是人家不要学折纸！
		大喵	2	……
		苏暖暖	2	啊！有个外企的大姐姐说可以和我练习英语，她也对折纸有兴趣呢！
		苏暖暖	2	去的话要穿得知性一点吧？现代知识女性的样子可能会加分吧……？
17	夜幕下的甜蜜回忆④	江川南	5	怎么样？潜入女仆咖啡有得到什么线索吗？
		苏暖暖	4	啊，嗯，他虽然说自己是斗地主高手其实完全不堪一击呢。
		江川南	5	……还有吗。
		苏暖暖	4	没了。
		江川南	1	没了？！你是专门去斗地主的吗你！
		苏暖暖	4	……哦对了，案发当时他正在那家店里，很多店员都可以证明。
		苏暖暖	4	咖啡店距离案发公园有半个多小时车程，看来不会是他了。
		江川南	1	好。进展不错。现在提供第二人的情报。
		江川南	1	她在附近的幼儿园工作，独居，还没有交到男朋友，应该会很乐意交到你这样的新朋友吧？
		苏暖暖	4	好像这次会轻松很多！
		江川南	1	不过要混进幼儿园可不容易，要打扮得像老师呢还是家长呢。
18	去学做手工吧！	苏暖暖	2	毛茸茸手工店最近在搞活动，美女店长亲自教你做手工！做可爱的小狮子背包，我要去啊！！
		大喵	2	美女店长这种广告词对你有吸引力么你这么激动……
		苏暖暖	1	矮油人家去过那家店啦，店长姐姐真的是美女呀！
		大喵	2	那穿什么都会被比下去，随便穿穿吧！
		苏暖暖	4	好嘛。简单灵便，清新可爱的日常服装就可以。
19	我们的晒书节	苏暖暖	2	啊，不知不觉，我们大学的晒书节就要到了！
		大喵	2	晒书节？
		苏暖暖	2	这也不知道呀你简直弱爆了……就是可以摆摊卖旧书，或者和别人交换。我期待好久了呢！
		大喵	3	那打扮夸张点招揽生意呀！
		苏暖暖	4	对你无语！晒书节么，肯定要甜美清新，淑女一点的啦。
20	晚礼服光辉下的幸运儿④	姐姐	5	你那些衣服都不适合晚会啦，时间来不及了，要快点去买。
		苏暖暖	3	刚刚明明说了不逛街的。
		姐姐	5	我说去买就去买！
		苏暖暖	3	这些别致的衣服不行吗，我觉得很可爱呀。
		姐姐	4	不行啦，姐妹俩要成套才可爱嘛，一会儿去试晚礼服呀，穿裤子试起来不方便的……
		姐姐	4	随便换上套容易装卸的衣服就可以了，比如说连衣裙什么的。
		苏暖暖	3	容易装卸……
		姐姐	4	不过话说回来，我真的不知道哪里有卖礼服的店呢……不管了，先上街再说吧！
		苏暖暖	4	喂，等等我……
21	女版福尔摩斯！	苏暖暖	2	大喵，你看了大侦探福尔摩斯了吗？
		大喵	2	嗯嗯，福尔摩斯和华生果然是……
		苏暖暖	2	明天有个侦探同好会诶，我想办成福尔摩斯去一定很拉风！
		大喵	3	（我才不要扮成华生）
		苏暖暖	5	我看看有没有福尔摩斯的衣服！
		大喵	2	其实显得睿智点的搭配都过得去吧……
22	汉服SHOW	苏暖暖	1	大喵你看你看，汉服好漂亮，你说是吧？
		大喵	1	我觉得这世上最美的东西是五花肉。
		苏暖暖	1	如果社团能弄个汉服走秀那真是太好了。
		大喵	2	别忘了左衽是给死人穿的。
		苏暖暖	4	左衽？什么东西？
		大喵	2	就是左领压右领！
		苏暖暖	4	啊……那我看看我的汉服是不是左衽的。
		大喵	5	那是给死人穿的！
		苏暖暖	3	唔……到底有没有汉服呢，明天得穿一件出去给社长看看，这样才好落实汉服秀的计划。
		大喵	5	你到底有没有在听我讲话……
23	突发奇想的异装	苏暖暖	1	大喵你看游乐场里那些米老鼠的衣服好可爱哦，我也想穿。
		大喵	2	确定不会被米老鼠丢出去吗？
		苏暖暖	1	模仿下才可以的嘛，比如马上就要去的育婴中心，我得穿可爱一点逗小孩！
		大喵	4	大喵就很可爱。
		苏暖暖	1	盯……
		大喵	2	你这样盯着我看感觉很毛骨悚然。
		苏暖暖	2	果然还是穿得像大喵比较卡哇伊吧！
24	晚礼服光辉下的幸运儿⑤	苏暖暖	3	都逛了三个小时了，都没有买到满意的衣服。
		姐姐	4	也是，这一条街都是平价店，晚礼服这种高贵的东西……
		苏暖暖	4	不过刚才一家店的导购不是推荐了个设计师吗？
		姐姐	4	啧，我都把这件事给忘了，回家换个衣服再去拜访下他吧。
		苏暖暖	4	啊？还要换衣服啊……
		姐姐	4	你穿得这么随便怎么可以去拜访设计师！
		苏暖暖	3	要穿得正式……
		姐姐	5	当然！
		苏暖暖	3	也不知道设计师待不待见我们。
25	逛街吧！血拼吧！	苏暖暖	5	背带裤……丝袜……外套……裙子……！（脑袋撞到衣柜）痛！
		大喵	2	……你要去相亲吗？
		苏暖暖	1	上次不是做了个小狮子背包吗，好想把它背出去逛街哦。
		大喵	3	总之以上的意思就是你要出去装嫩……
		苏暖暖	3	亲手做的包不背出去不觉得浪费吗？
		大喵	3	那就打扮得像个初中生吧，记得把你床上的黑丝收起来。
		苏暖暖	3	说起来，夏天快到了，这次逛街主要是去买个什么东西……是什么东西呢一时想不起来了！
26	暴走团什么的……	大喵	1	喂，怎么还不起床？今天不是暴走团的第一次活动吗？
		苏暖暖	3	唔……是呀……不想去……
		大喵	5	是你自己报名参加的呀！
		苏暖暖	3	可是要从市区一直走到穹窿山顶啊！人家不要啦……坑爹死了！
		大喵	5	有脸说么你！
		苏暖暖	3	噗噗……
		大喵	2	喂……
		苏暖暖	4	好吧！来件适合运动的，宽松一点的衣服就出发吧！哦对了，不能太透的估计会出很多汗！
27	教师节回高中看看？	苏暖暖	2	亲爱的！
		大喵	3	别套近乎，我害怕！
		苏暖暖	1	矮油，说句好听的还不乐意。问你呀，教师节快到了我想回高中看望老师，穿什么好呢？
		大喵	2	随便啦，别太暴露就行了。
		苏暖暖	5	认真点！
		大喵	1	好好，去挑个保守又不失活泼，素雅点儿的衣服吧。
28	买宠物的回忆	苏暖暖	4	喂，大喵啊，你来我们家好几年了吧？
		大喵	5	我了个去，这都不记得啊！三年了！
		苏暖暖	3	我只是感叹呀，记得当时在宠物市场见到你的时候，我还以为是小白熊呢。
		大喵	3	不会吧……
		苏暖暖	5	贵的要死！难怪总是戴个斗篷，坑爹吗这不是……
		大喵	5	 ……不要这么说好吗！
		苏暖暖	1	嘿嘿，很可爱呀，来抱个！还记得当时我穿的什么吗？
		大喵	2	不记得！
		苏暖暖	4	不抱了，给点提示吧，穿得很严实哦，为了和大家拉近距离，特意挑了套很有爱的衣服！
29	夜幕下的甜蜜回忆⑤	苏暖暖	2	她真是个好人呐！还教我唱歌跳舞做蛋糕什么的。
		江川南	1	你不会是扮成学生混进幼儿园的吧你……
		苏暖暖	4	说正题啊！她没有不在场证明，当晚她独自在家没有出门……
		苏暖暖	4	不过我相信这么好的姐姐肯定不会是犯人！
		江川南	1	可不能被外表所蒙蔽！你要有侦探的觉悟和荣耀！
		苏暖暖	2	好！终于等到这句台词了！
		江川南	1	第三人是个运动员，有很敏锐的神经以及良好的运动素养……
		江川南	1	……好像跟运动有关的事情他都有兴趣。你该让自己的身体动起来了！
		苏暖暖	3	任何运动？范围还真是大啊……要人命啊……
		江川南	1	还不一定遇得到他……总之尽人事听天命吧。
30	盛宴！小吃节！	苏暖暖	2	一年一度长街小吃节开始了！
		苏暖暖	2	有芝麻糊杏仁糊玉米糊呀，这种糊糊得一团捣啊捣啊吃的东西我最爱了！
		大喵	3	还有炸青虫呀炸蚕蛹呀炸蜈蚣呀……
		苏暖暖	6	不要恶心好吗！我会给你带骨头回来的！
		大喵	5	啊，不带我去呀？
		苏暖暖	3	人山人海的，你想被踩死吗……说起来这么个挤法，穿什么才好……
		大喵	1	裙子估计不合适了吧。穿个抗挤性强的衣服。
		苏暖暖	3	抗挤性是个什么玩意儿……还要注意耐脏啊什么的。
31	he Shopping Time！	苏暖暖	1	矮油，今晚闺蜜叫我出去逛商场，你要在家里乖乖的哦。
		大喵	2	还不走？
		苏暖暖	5	又不知道要穿什么了……这个裙子会不会太花？
		大喵	4	会……
		苏暖暖	1	这个呢这个呢！ 果然还是兼职时尚气质又不容易引人注目的搭配吧？
32	占卜？很有意思的样子	苏暖暖	4	大喵，你有试过真正的占卜吗？
		大喵	5	占卜？哦，就是算命啊，就是你把手伸出去然后……
		苏暖暖	1	不是！就是吉普赛人的水晶球，用水晶球占卜！
		大喵	3	……
		苏暖暖	4	是水晶球诶！
		大喵	2	你没发烧吧？
		苏暖暖	1	给你看宣传单！
		大喵	3	……所以你要去吗？
		苏暖暖	2	这么新奇的东西我当然要去看看！而且听说那个吉普赛人就来一周，我要好好把握这个机会。
		大喵	2	（这算什么破烂机会）
		苏暖暖	2	穿什么好呢，是不是要穿得神秘一点，用面巾把脸遮住怎么样？
		大喵	3	……穿普通一点就好了！
33	晚礼服光辉下的幸运儿⑥	苏暖暖	1	初次见面……
		设计师	4	……（爱理不理）。
		苏暖暖	1	呃……
		姐姐	2	哇，好多漂亮的衣服哦！都是您设计的吗？
		设计师	3	这个自然。
		姐姐	2	这个晚礼服也很漂亮呢！
		设计师	3	……（神色稍缓）。
		姐姐	2	我们两天后要参加个化妆晚会，但是对礼服要求太高了……
		姐姐	2	所以……跑了很多家店都没有看到满意的，果然只有您才能帮到我们呢。
		设计师	5	你先找一套现有的礼服穿给我看看好了。知道大概感觉就能给你量身定制。
		苏暖暖	4	哇！哦！
		设计师	5	不出意外两天后来取就行了。
		姐姐	2	真的吗，十分感谢！
		苏暖暖	1	（可是我有现成的礼服吗……）。
34	去网吧打DOTA！	苏暖暖	6	呀，断电了！
		大喵	4	断电就陪我玩吧。
		苏暖暖	3	我要打DOTA打DOTA打DOTA……
		大喵	5	好无情TAT
		苏暖暖	1	对，去网吧，网吧一定不断电。
		大喵	3	网吧里都是烟味，不要穿棉质的衣服吸一身烟回来！
		苏暖暖	1	嗯啊，穿得邋遢一点去吧！
35	战争的号角	苏暖暖	1	大喵，你听说过WAR GAME吗？
		大喵	1	打仗游戏？
		苏暖暖	1	啊差不多啦，反正就是作战模拟生存游戏一类的。好像很好玩呢我报名参加了……
		大喵	5	不是吧！会受伤吗？！
		苏暖暖	2	大喵果然还是关心我的！真让人感动！
		大喵	2	……呸。
		苏暖暖	2	放心好了，都说是游戏了肯定安全的。把军训时的衣服翻出来吧！
		大喵	2	找不到的话穿得迷彩一点宽松一点也凑合吧？
36	美名其曰教育下一代	苏暖暖	1	好想做家教啊，每天就两个小时，比什么超市兼职轻松多了。
		大喵	3	找家教的家长多着呢，去四处转转就能看到墙上的小纸片。
		苏暖暖	1	找到了就马上联系吗？
		大喵	3	所以还是先穿得比较像老师一点再出门吧。
37	跳芭蕾舞可以身轻如燕	苏暖暖	2	芭蕾舞好好看哦。
		大喵	2	脚尖不会断掉吗？
		苏暖暖	4	她们肯定练了很长时间了，我也要学！
		大喵	2	……祝你的脚趾断掉。
		苏暖暖	4	今天就去报班。
		大喵	2	……有这闲钱还不如给我买五花肉。
		苏暖暖	4	报了班之后的话身上的钱好像就不多了，大喵你以后还是吃小鱼吧。
		大喵	5	我反对！
		苏暖暖	2	那么我去看看有没有适合跳芭蕾舞的衣服了。
38	夜幕下的甜蜜回忆⑥	苏暖暖	3	呼……呼呼……网球，篮球，健身，游泳，乒乓，甚至斯诺克我都去了个遍……
		苏暖暖	3	……累死我了终于遇到他了，却是在烧烤店遇到的请问这是怎么回事啊！！
		江川南	1	天命就是这种事情。不要在意。
		苏暖暖	3	怎么不在意啊！好在成功打听到消息了，他已经不打算做运动员了所以也不用保持身材……
		苏暖暖	3	他最近基本天天都在暴饮暴食已经胖了很多。事发时他在大排档吃小龙虾啊大哥。
		江川南	1	好吧好吧。这么看来只有第二人有作案时间。要进一步接触她才行。她有什么爱好吗？
		苏暖暖	4	她喜欢做蛋糕，也许我可以约她一起去西点教室。不过这样真不好啊有利用朋友的嫌疑。
		江川南	1	为了真相这也是没办法的事。去西点教室应该要兼具小清新和厨娘两种气质吧？
		江川南	1	你好好考虑一下打扮，让她觉得你对此很在行会让事情更顺利。
39	乐队，一起摇滚吧！	苏暖暖	2	呀呀呀，好激动，整个人都沸腾了怎么办！
		大喵	1	今天什么日子，烧烤的时候都没见你这么激动。
		苏暖暖	2	我们筹划已久的乐队要开始彩排了！
		大喵	4	啊……就是那个什么摇滚乐队吗？
		苏暖暖	1	是呀是呀，有没有整个人都一起摇滚起来的感觉？
		大喵	3	……睡觉。
		苏暖暖	3	喂……
		大喵	2	穿着连衣裙去摇滚乐队，一看就觉得很坑爹。
		苏暖暖	3	呃……好像一激动是拿错衣服了，穿什么好呢，大概朋克一点的更给力吧。
40	COSPLAY！	苏暖暖	2	明天我们的cosplay社团要出cos了！
		大喵	2	路人甲一定很适合你。
		苏暖暖	3	是cosplay又不是拍戏！等等，什么叫路人甲很适合我，我长得很路人吗？
		大喵	2	啧啧，这可不是我说的哟。
		苏暖暖	3	太过分了，明天可是我最喜欢的宫廷古装cos呢。
		大喵	1	古装啊，反正你也不缺古装的衣服，随便挑几件好了。
		苏暖暖	5	因为是cosplay，造型还要尽量夸张点，找点极具存在感的宫廷古装吧。
41	夜幕下的甜蜜回忆⑦	江川南	5	怎么样？有什么收获？
		苏暖暖	4	嗯……虽然她说喜欢做蛋糕，但是很明显是新手嘛，把整个教室都弄得乱七八糟的。
		苏暖暖	4	……不过看她幸福的样子又好像真的很喜欢做蛋糕。
		江川南	1	只是单纯的手笨而已！
		苏暖暖	3	是吗……那还要继续调查吗？她说想下周去水族馆。
		江川南	1	不能功亏一篑！不管遇到什么阻碍我们定然要奋勇前行！
		苏暖暖	3	可是这个……经费不足了啊……
		江川南	4	这个这个……
		苏暖暖	3	而且工资什么的侦探先生你有考虑过吗……
		江川南	4	这个这个……果然是很严重的阻碍……
		苏暖暖	3	怎么办呢。
		江川南	4	再努力一把吧，你省着点花。唉，我一定要追查真凶……因为……
42	偶尔还是要高雅一下的	大喵	1	桌上的两张票快要过期了哟
		苏暖暖	6	什么票？呀——
		大喵	1	怎么了？
		苏暖暖	1	这是前一阵子赢到的戏票诶，上面写着今天过期，今天正好有一场《牡丹亭》！
		大喵	2	……
		苏暖暖	1	陪我去嘛~
		大喵	2	有什么好处？
		苏暖暖	1	呐，呐，今天给你吃一整块五花肉。
		大喵	1	就这么愉快地决定了！看戏的话还是不要穿这么休闲好，要看起来有点文化修养。
		苏暖暖	2	古装怎么样？
		大喵	5	难道你想去演戏吗！
43	打工=消磨时间？	苏暖暖	3	暑假两个月都蹲在家里好无聊啊。
		大喵	1	刚听人说起有家超市招兼职，你要不要去试试？
		苏暖暖	2	好啊好啊，正好钱包都扁了！
		大喵	3	离招聘时间还有两个小时……
		苏暖暖	2	衣服衣服，我要去换衣服！虽然说是兼职，但应聘的话还是穿得职业些好了。
44	扫墓果然很沉重呢	苏暖暖	1	明天学校组织去扫墓呢。
		大喵	3	你这身花蝴蝶只穿了一天，真可惜。
		苏暖暖	3	果然明天还是想穿！
		大喵	2	……当心被人打出来。
		苏暖暖	3	可是就是最喜欢这件，非要换成沉重系的衣服吗……我看看，暗色系的衣服……
45	晚礼服光辉下的幸运儿⑦	苏暖暖	4	工作室的门开着……
		姐姐	4	请问有人吗？
		工作室		……
		姐姐	4	那我们进来喽！
		工作室		（工作室内乱糟糟的空无一人）。
		苏暖暖	4	呀！不会发生什么意外了吧！
		姐姐	4	化妆晚会就在今天，千万别给我出什么意外啊。
		苏暖暖	4	你究竟是担心人还是担心衣服啊！
		姐姐	5	嘘……天台有人。
		设计师	4	……
		姐姐	2	我们找您很久了！
		设计师	4	……
		姐姐	2	请问……
		设计师	2	对于一个设计师来说，果然灵感枯竭是最痛苦的。
		苏暖暖	4	那有什么可以帮到你的吗？
		设计师	2	……
		姐姐	2	请问您要设计什么样的衣服呢？
		设计师	2	快去随便找件古典欧洲风格的衣服穿上！
		苏暖暖	4	……在对我说话吗？
		设计师	4	啊！是！对！就是你！应该这样设计……或者那样……嗯！！啊！！
		苏暖暖	4	吓死我了！
		设计师	4	还不快去！帮我找到灵感才把你的晚礼服交给你！
46	图书管理员	苏暖暖	6	社会实践活动……整理图书馆？！
		大喵	2	被发配去图书馆了啊。
		苏暖暖	3	不是啊，这是我自己申请的。
		大喵	2	那你这么激动干什么！
		苏暖暖	3	本来以为是管借阅的嘛，谁知道是去整理图书啊。
		大喵	2	就算是整理图书也要穿得斯文点。嗯，又斯文又学生，不然小心不让进。
		苏暖暖	3	才不会，我有证明！
		大喵	5	会被怀疑的！
47	期末考试前的突击	苏暖暖	3	明天就考试了，可是书还没背完怎么办啊！
		大喵	2	平时不背书只折纸的代价……
		苏暖暖	6	没背完就考不及格，考不及格就要重考，怎么办啊！
		大喵	2	平时不背书只折纸的代价……
		苏暖暖	6	我要熬夜！
		大喵	2	记得头悬梁锥刺股什么的，不然小心睡过去。
		苏暖暖	1	所以不能穿着睡衣，我要找件紧身点的能造成紧张感的衣服！
48	去健身房流个汗吧	苏暖暖	1	冬天到了啊。
		大喵	4	是冬眠的好时机。
		苏暖暖	1	很久不出汗身体会不好的。啊对了，最近有个健身房刚开业搞活动，我要去办张会员卡！
		大喵	4	顺便……去自虐吗？
		苏暖暖	4	什么自虐，是去运动，我要上跑步机！
		大喵	3	裹这么多去跑步机没问题吗？
		苏暖暖	4	运动汗衫可以穿里面嘛，反正羽绒服是要脱掉的~我看看有没有运动汗衫好了。
49	我也要做平面模特？！	大喵	3	你在翻箱倒柜地找什么啊？
		苏暖暖	2	有杂志让我拍个平面广告！你说厉害不厉害？！ 
		大喵	3	感觉这次的事件很棘手的样子。
		苏暖暖	2	是啊是啊……
		大喵	2	但是拍广告他们有指定什么衣服吧……？
		苏暖暖	3	就是没有呢，头疼……我有特别上镜的衣服吗？
		大喵	2	不会是遇到骗子了吧？
		苏暖暖	3	是在大街上被留的电话没错……
50	晚礼服光辉下的幸运儿⑧	姐姐	5	不公平啊不公平，明明是我被邀请去化妆晚会，受万众瞩目的倒是你……
		苏暖暖	2	总之还是要去谢谢设计师的吧。
		姐姐	4	盯——
		苏暖暖	4	我们还是……去……谢谢……人……家……吧……
		姐姐	2	好吧，我大人有大量，就陪你去一趟好了。
		苏暖暖	4	那么……
		姐姐	3	回来！
		苏暖暖	4	怎么了？
		姐姐	3	你穿件小马甲去答谢连我都觉得丢人！
		苏暖暖	4	为什么每次都要穿得正式呐……
		姐姐	2	嘿嘿，打扮得漂亮一点更引人注意嘛，而且我记得他最近好像有什么设计大赛。
		苏暖暖	3	那和我有什么关系！
51	COSPLAY！神乐！	苏暖暖	2	cosplay社团要出新cos了！
		大喵	3	莫非是唐老鸭……
		苏暖暖	3	喂！好歹要露个脸吧！
		大喵	3	那就是……憨豆先生？
