编号	价格	描述	入手条件	几部分	已购	衣服说明中的缩放比例	衣服说明中的坐标	衣服坐标	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83
5039	9999999	如果觉得穿圣诞老人装太醒目的话，何不试试这样的裙子呢？		1	NO	1	296,372	368,342	C	F	B	F	B	B	C	B	C	C	F	B	B	A	C	C	F	B	C	F	C	F	A	C	B	F	C	C	F	F	B	B	B	B	F	C	F	B	C	C	B	F	C	C	B	F	F	F	B	B	B	C	F	B	F	F	B	C	B	B	B	C	F	B	B	B	F	B	B	C	C	B	C	B	B	B	C	B	C	B	A	A	A
5040	9999999	帅气的款型加上毛茸茸的边，冬天里果然还是要有这样一条短裤。		1	NO	1	284,398	356,388	B	F	A	B	B	F	C	C	C	B	F	C	A	B	C	C	C	A	A	B	C	C	C	C	B	F	A	A	F	B	A	C	F	A	B	C	C	A	C	F	B	B	A	B	B	A	A	C	B	B	B	B	A	A	B	F	B	B	B	B	B	B	C	B	B	A	C	B	B	B	B	B	A	A	A	A	A	B	A	A	A	A	B
6025	9999999	很稀有的白色的网袜，在白色的背景下果然是看不见的呀……		1	NO	1	306,348	360,560	C	B	C	B	F	B	F	F	A	B	A	A	A	A	C	C	C	C	A	B	C	B	A	A	C	C	C	A	C	C	A	C	C	C	F	C	F	A	C	A	A	A	B	C	A	F	A	F	A	A	A	C	F	A	C	F	A	A	A	A	C	B	F	B	A	A	F	A	A	F	C	B	F	A	A	A	F	A	A	C	A	A	B
6026	9999999	可爱的白色蝴蝶结增加了可爱度，性感和可爱看来是可以同时表现的呢。		1	NO	1	306,348	334,586	C	B	C	B	F	B	F	F	A	B	F	A	A	A	C	C	C	C	A	B	C	B	A	A	C	C	C	A	C	C	A	C	C	C	F	C	F	A	C	A	A	A	B	C	A	F	A	F	A	A	A	C	F	A	C	F	A	A	A	A	C	B	F	B	A	A	F	A	A	F	C	B	F	A	A	A	F	A	A	C	A	A	B
6027	9999999	圣诞节果然还是要有这样一双袜子！非常有圣诞气氛哦！		1	NO	1	318,298	360,540	C	B	B	B	C	A	F	C	B	B	C	B	A	A	F	C	C	C	A	B	C	B	A	A	C	C	C	A	B	C	A	B	C	C	F	C	F	A	C	B	A	A	A	A	A	C	A	C	A	A	A	B	C	A	B	C	A	A	A	A	C	B	F	B	A	A	C	A	A	C	C	A	C	A	A	A	C	A	B	C	A	A	A
7057	9999999	毛茸茸的靴子，可爱又好搭配衣服！非常实用哦！		1	NO	1	312,388	348,706	B	F	B	B	C	B	B	B	B	B	F	B	B	B	F	B	B	B	C	C	C	F	A	B	B	C	B	B	C	B	B	B	B	B	C	B	F	B	B	C	B	C	B	C	B	B	F	F	A	B	B	C	F	B	F	F	B	C	A	B	B	B	F	B	A	B	F	B	B	B	B	B	A	B	B	B	B	B	C	B	A	A	B
7058	9999999	冬天里有这样一双时尚又温暖的鞋子真是再好不过了！		1	NO	1	284,408	316,758	C	B	B	B	F	A	F	F	A	F	F	A	C	B	F	F	C	F	C	C	C	F	A	C	F	F	C	C	C	F	C	C	B	C	F	C	F	C	C	C	C	A	C	F	A	C	C	C	A	A	A	A	C	C	C	C	A	A	A	C	C	A	C	A	A	C	C	C	A	C	C	A	C	A	C	A	C	A	C	C	A	A	B
7059	9999999	帅气的中筒靴加上毛茸茸的边，真是太棒了！		1	NO	1	304,346	344,632	C	B	C	F	F	C	C	B	A	B	B	C	B	C	C	C	F	C	C	C	F	C	B	B	C	F	F	C	F	C	B	B	F	F	F	C	F	C	A	F	C	B	C	C	B	C	F	C	A	B	C	A	C	C	C	C	B	A	A	C	C	B	C	B	B	C	C	C	B	C	C	B	C	B	C	B	C	B	C	C	A	A	B
7060	9999999	大喵似乎对鞋子上不停晃动的球非常感兴趣。		1	NO	1	298,394	334,728	B	F	B	B	C	B	B	B	B	B	F	B	B	B	F	B	B	B	C	C	C	F	A	B	B	C	B	B	C	B	B	B	B	B	C	B	F	B	B	C	B	C	B	C	B	B	F	F	A	B	B	C	F	B	F	F	B	C	A	B	B	B	F	B	A	B	F	B	B	B	B	B	A	B	B	B	B	B	C	B	A	A	A
8059	9999999	很少见的圆形圣诞帽~很惹眼哦！		1	NO	1	258,426	306,92	C	C	B	B	F	A	C	C	C	B	F	A	C	F	B	C	C	C	C	C	C	C	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	C	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	A	A	A
8060	9999999	看到这个星星，是不是会让你想起某个地方的难易度呢？		1	NO	1	210,466	236,268	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	C	A	C	C	C	C	C	C	C	C	B	C	C	C	C	C	C	A	A	B
8061	9999999	虽然除了圣诞才有机会戴，但是因为太可爱了还是买下了。		1	NO	1	236,454	246,112	F	C	C	C	C	B	C	C	C	C	C	C	B	C	C	C	C	C	C	C	C	C	B	C	C	C	C	B	C	C	C	C	C	C	C	C	F	C	C	C	C	B	C	C	C	C	C	C	C	C	C	B	C	C	C	C	C	C	C	B	C	C	F	C	B	C	C	C	C	C	C	C	C	C	C	C	C	B	C	C	A	A	B
8062	9999999	戴上这雪白的蝴蝶结，会让你想起电影《情书》里大雪纷飞的场景吗？		1	NO	1	230,442	244,106	B	C	C	C	C	B	C	C	C	C	C	C	B	C	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	B	C	C	B	C	C	C	C	C	C	B	C	C	C	F	C	A	C	C	C	C	C	C	C	C	B	C	C	C	C	C	C	A	A	B
8063	9999999	可爱的小雪人耳环，绝对要收藏一对哦！		1	NO	1	240,446	286,184	F	C	C	C	C	B	C	C	C	C	C	C	B	C	C	C	C	C	C	C	C	C	B	C	C	C	C	B	C	C	C	C	C	C	C	C	F	C	C	C	C	B	C	C	C	C	C	C	C	C	C	B	C	C	C	C	C	C	C	B	C	C	F	C	B	C	C	C	C	C	C	C	C	C	C	C	C	B	C	C	A	A	B
8064	9999999	麋鹿发箍，戴上它就可以和圣诞老人一起发礼物了！		1	NO	1	268,408	320,76	F	F	F	F	F	A	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	A	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	A	F	F	F	F	F	F	F	F	F	F	F	F	F	F	F	A	A	B
8065	9999999	可爱的白色小球发饰，走路时候一晃一晃的非常可爱。		1	NO	1	266,442	312,104	C	F	C	C	C	C	C	C	C	C	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	A	A	B
8066	9999999	暖暖最喜欢的腰带之一哦！因为上面挂着一个大喵送她的小雪人！		1	NO	1	254,442	328,388	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	A	A	B
8067	9999999	有这个袖套的话，才能集齐圣诞装哦！		1	NO	1	226,384	232,278	F	F	B	F	F	F	F	C	A	A	F	F	F	A	F	F	F	F	F	A	F	F	C	A	F	F	F	F	F	F	F	C	A	F	C	F	F	F	A	F	F	A	F	F	A	F	F	F	C	A	F	A	F	F	F	F	A	A	F	F	F	C	F	A	F	F	F	F	A	F	F	A	F	F	F	F	F	A	F	F	A	A	B
8068	9999999	冬天的主题就是堆雪人！一起来堆雪人吧！		1	NO	1	222,444	230,172	F	C	C	C	C	B	C	C	C	C	C	C	B	C	C	C	C	C	C	C	C	C	B	C	C	C	C	B	C	C	C	C	C	C	C	C	F	C	C	C	C	B	C	C	C	C	C	C	C	C	C	B	C	C	C	C	C	C	C	B	C	C	F	C	B	C	C	C	C	C	C	C	C	C	C	C	C	B	C	C	A	A	B
