编号	价格	描述	入手条件	几部分	已购	衣服说明中的缩放比例	衣服说明中的坐标	衣服坐标
1053	800	偶尔装下小学生也不错。老板给女儿剪头发的时候蹭到的发型。物超所值。		2	NO	1.0 	355,342	386,94
1054	3000	传说中分是女王！优雅成熟性感是它的广告词。		2	NO	1.0 	337,314	386,94
1055	0	苏暖暖最喜欢的招牌发型。走到哪里都光芒四射。		2	YES	0.7 	325,328	386,94
2001	1000	这是妈妈某次参加舞会的礼服，觉得太年轻就卖给暖暖了。骗走了好多零花钱。		1	NO	0.5 	288,293	454,206
2002	2000	高贵的紫色，暖暖在一次冒险中击杀十恶不赦的女伯爵获得的战利品。女伯爵好像挺矮的。		1	NO	0.5 	284,309	454,206
2003	5000	这条奢华的长裙极少出现在平民家庭。闪闪发光的宝石意味着不菲的售价。		1	NO	0.5 	280,321	454,206
2004	4000	黑色如漫漫的长夜，缀于其上的是灿烂星河。		1	NO	0.5 	288,323	454,206
2005	8000	珍贵的汉服收藏。不要问暖暖是什么时候闯荡江湖结识千金小姐然后得到这件衣服的。		1	NO	0.5 	299,327	454,206
2006	8000	大气优雅的公主长裙，内衬上有一行小字，“拥有它，你就拥有了整座王国。”		1	NO	0.5 	282,322	454,206
2007	2600	因为穿出去回头率太高所以被压箱底的长裙。散发着黑色浪漫的气息。		1	NO	0.5 	284,314	454,206
2008	6200	暖暖儿童时代偶像的衣服。虽然是爸爸给的生日礼物。玩家还是要付出不小的代价获得它。		3	NO	0.5 	291,332	454,206
2009	2600	穿这件衣服需要很好的身材和勇气。为了证明身材也应该买下它。		1	NO	0.5 	290,319	454,206
2010	1500	据说穿上它能变成蝴蝶飞走……只有现在才有机会以奇迹般的低价得到这件精灵族的至宝。		1	NO	0.7 	317,341	417,232
2011	1000	令人无限遐想的女仆装。应该还有其他部件。		1	NO	0.8 	330,352	417,232
2012	3200	可爱的洋装。穿上它像从童话中走出的少女。		1	NO	0.8 	319,331	417,232
2013	3200	裙子的部分有很别致的设计。别致就是美。		2	NO	0.6 	289,326	417,232
2014	1500	把自己打扮得像个洋娃娃，生活会简单快乐许多。穿上它会有出海远行的冲动吗？		1	NO	0.8 	332,337	417,232
2015	1000	泡泡袖，还是能满足小女生当公主的愿望的，只是裙子部分差强人意。所以它是日常服装。		1	NO	0.8 	330,336	417,232
2016	2600	丝质的复古长裙。要不是略显过时它会身价飞涨的。		1	NO	0.6 	282,333	417,232
2017	1500	纯洁的礼服，再加上点蕾丝边就能在结婚时候穿了。		1	NO	0.6 	284,331	417,232
2018	2000	标签上写着爱丽丝的洋装。却让人不免联想起女仆……老板强烈建议你买下配套的头饰。		1	NO	0.7 	309,356	417,232
2019	1500	这是本店出售的很少有的几件正经服装之一。		1	NO	0.8 	328,337	417,232
2020	2600	姐姐很喜欢这件衣服，可是暖暖穿上它略显成熟。没办法，谁让暖暖衣服就是多。		1	NO	0.6 	290,321	417,232
2021	3200	据说穿旗袍很显身材。“穿旗袍要美”已经成为当今高帅富恋爱的主要条件。		1	NO	0.8 	325,334	417,232
2022	3200	显得很淑女的日常长裙。能让你成为一个带的出手的女朋友/女儿/女同学。		1	NO	0.6 	291,327	417,232
2023	4000	这件很显胸吧！对，这就是它珍贵的唯一理由！		1	NO	0.6 	285,331	417,232
2024	2000	从前有个卖盗版的告诉你如果买下它就能成为人群中的焦点。		1	NO	0.8 	331,341	417,232
2025	600	真正的好裙子就是不张扬不土气合身又舒服。妈妈说的话一定要记住。		1	NO	0.9 	310,327	386,233
2026	1500	听说连体裤很显腰，但是要怎么上厕所呢？这个问题连卖家也困扰着。		1	NO	0.9 	310,327	386,233
2027	3200	买了它就得去学跳舞了。裙子太短平时几乎没法穿。不对，跳舞就能穿了吗？		1	NO	0.9 	310,327	386,233
2028	2600	耀眼的黄色，霸气外露！上面还有令人费解的飞鸟纹样，更显出它的霸气。		1	NO	0.9 	310,327	386,233
2029	5000	每次抚摸这件衣服就会想起它的主人制作它的不易。所以请不要廉价地出售它。		1	NO	0.9 	312,342	386,233
2030	4000	白色好像很容易脏呀，穿的时候要小心翼翼……		1	NO	0.9 	319,334	386,233
2031	2000	诡异的三合一套装。究竟是什么原因使它成为一件连衣裙呢。请在APP评论处留言询问……		1	NO	1.0 	332,341	386,233
2032	3200	某次暖暖参加了微博转发活动得到的奖品。穿上它将获得幸运。幸运是无价的。		1	NO	0.9 	308,330	386,233
2033	0	这条连衣裙让人很有食欲！吃下它你将获得十万金币。……开玩笑的。		1	YES	1.0 	319,294	386,233
2034	2600	带子系在脖子后面的话被人抽掉了怎么办？虽然有小裙子的泳衣挺让人安心的。		1	NO	0.9 	304,336	386,233
2035	600	这件泳衣的颜色代表了海洋之魂。只卖六百金币是出于制作组的好心。你懂的。		1	NO	1.0 	326,345	386,233
2036	5000	露得越多卖得越贵。这一条很多时候不仅限于泳衣。		1	NO	1.0 	326,331	386,233
2037	600	很普通的小套装。普通到很多时候只能在家里穿穿。因此你花很少金币就能拥有它。		1	NO	1.0 	323,326	386,233
2038	3200	野性又性感的豹纹。派对女王就是你！		1	NO	1.0 	319,303	386,233
2039	4000	它有一个好听的名字叫繁星。晚上穿它出去会被误会是星空在走吗？		1	NO	1.0 	319,303	386,233
2040	1000	这不是一件泳衣！穿它游泳会掉下去的。当你入手某件饰品的时候会想起它。		1	NO	1.0 	319,303	386,233
2041	6200	如果这个游戏的内容是暖暖穿着它打僵尸，应该会畅销海内外。		1	NO	0.9 	342,338	418,240
3001	6000	暖暖曾在阁楼里找到过一枚胸针，她把它别在帅气的风衣上，并常常穿着它外出游玩。		2	NO	0.7 	281,342	372,241
3002	7200	传说穿上这件汉服将来可以做大官。作为外套来说，看不到里面的衣服不代表可以不穿。		2	NO	0.7 	271,335	372,241
3003	0	少女系的外套。质地半透明。不要懒到以为可以只穿外套就出门，会走光的。		1	YES	0.9 	285,341	352,247
3004	4600	有一个声音对你说，“披上它，你将成为水晶球的新主人。”		2	NO	0.9 	298,342	352,247
3005	1500	姐姐从遥远的大洋彼岸带回来的衣服。她居然连关税都要收！		1	NO	1.0 	305,360	352,247
3006	2400	估计入手了这件外套的每个人都在头疼什么场合可以穿上它。		2	NO	1.0 	297,339	352,247
3007	2400	用它配长裙吧，搭配上衣也许不合适。因为有制作组提示所以加收了一些费用。		1	NO	1.0 	283,373	327,221
3008	800	牛仔的话穿着一定帅气。可能有些紧？紧的原因似乎不能对女孩子说起。		1	NO	1.0 	283,371	327,221
3009	1500	外婆送给暖暖的针织衫，暖暖一直很珍惜它。一件永流传。		1	NO	1.0 	283,371	327,221
3010	5800	英姿飒爽的军人装的一部分。内衬写着一行小字：“不要在丛林里迷失自己。”		1	NO	1.0 	283,356	327,221
3011	3500	它黑色浪漫的气息吸引着你。你看着它发呆了好长时间。		1	NO	1.0 	287,421	327,221
3012	3500	理性而智慧。这件衣服让你不再感情用事，可以专注于细节和逻辑。		1	NO	1.0 	283,371	327,221
3013	4600	你愣住了。“难道不把两件外套穿在一起我就不能完成侦探套装吗？”你内心咆哮道。		2	NO	1.0 	290,390	327,221
3014	800	看尺寸就不大对劲。姐姐织了毛衣没送出去转手给了暖暖。找个机会扔了它吧？		1	NO	1.0 	280,340	327,221
3015	1500	街头艺人送给暖暖的临别礼物。忘带家门钥匙的暖暖是他唯一的观众。		1	NO	1.0 	288,357	327,221
4001	700	肩膀好看的人适合这件上衣。什么？你说它是连衣裙？真的会走光的。		1	NO	1.0 	319,338	368,244
4002	1200	这是姐姐强迫暖暖买下的，理由是不能再穿得孩子气了。		1	NO	1.0 	316,330	368,244
4003	5000	两件上衣合二为一，你说为什么要花金币购买组合体？这是突破程序限制的必要花费。		1	NO	0.7 	278,333	368,244
4004	0	悠闲的上衣。穿上它不知不觉悠哉起来。在家里可以直接穿，出门要配裤子比较好看。		1	YES	0.8 	278,340	368,244
4005	300	作为一件乱入到上衣类里的连衣裙它的压力很大。所以特别便宜。		1	NO	0.7 	278,333	368,244
4006	3300	好看的低胸装，前提是好看的胸。作为连衣裙它也压力很大可是它不便宜。		1	NO	0.7 	278,333	368,244
4007	0	某一年很流行的蝙蝠袖。暖暖参加居委会的折纸比赛赢来的奖品。		1	YES	1.0 	314,338	368,244
4008	1200	每个人都见过几个穿着这样的衣服的女孩。		1	NO	1.0 	289,364	331,229
4009	700	服装店的营业员热情地告诉你这件衣服让人御姐范十足。		1	NO	1.0 	280,360	331,229
4010	1800	高领短袖，是一件要和季节作对的可爱上衣。		1	NO	1.0 	289,341	331,229
4011	5000	传说世界上有一座在天空移动的岛屿名叫‘梦幻’，暖暖就是在那里得到了这件上衣。		1	NO	1.0 	289,341	331,229
4012	700	你在这件衣服上看到了更快更高更强的精神。		1	NO	1.0 	289,341	331,229
4013	300	普通的汗衫，但是纯棉的很贴身。一口气打包买十件可以打八折。		1	NO	1.0 	289,360	331,229
4014	2500	心形图案很受欢迎哦，现在买还附赠外套，什么？你不想要外套？不行，一定要外套。		1	NO	1.0 	289,360	331,229
4015	4200	穿上像民国时的学生。好像是剧组的服装？花了好大心思才搞来的谢绝还价！		1	NO	1.0 	289,360	331,229
4016	300	不管发生再糟糕的事情，当你睁开眼睛的时候穿着这件衣服你就会安心。		1	NO	1.0 	289,341	331,229
4017	2500	这好像是哪次学校运动会时发的衣服，但是暖暖忘还了……别的地方买不到的好吗！		1	NO	1.0 	289,360	331,229
4018	1800	看起来好凉爽！手臂完全没有束缚，线条尽展无遗！		1	NO	1.0 	276,362	331,229
4019	1800	把某国国旗穿在身上真的没问题吗……应该没问题吧，反正我们是多语言版的。		1	NO	1.0 	289,362	331,229
4020	3300	它代表了很多人青春时代的回忆！也许不被要求你就不会穿它，但是回忆无价！		1	NO	1.0 	289,360	331,229
4021	300	挺有OL气质的衬衣。‘也许你想要一幅眼镜？”你在购买它的时候眼镜店员跑过来说。		1	NO	1.0 	289,369	331,229
4022	1800	买下这件小马甲附赠绅士气质一份。		1	NO	1.0 	289,369	331,229
4023	3300	穿水手服乱晃会不会引来怪叔叔……？总之独特的魅力让它物有所值。		1	NO	1.0 	289,362	331,229
4024	2500	成熟一点胜人一筹！职场女性推荐装束！		1	NO	1.0 	289,341	331,229
4025	2500	妇女节商场全场五折时暖暖抢回来的。说起来五折也不便宜。该死的商场。		1	NO	1.0 	281,375	331,229
4026	2500	看起来特别简单，穿起来特别有型。大部分女孩都希望有能穿这件衣服的身材。		1	NO	1.0 	289,362	331,229
4027	700	如果暖暖是模拟经营游戏女主角的话，这件衣服应该是初期经营的法宝。		1	NO	1.0 	289,341	331,229
4028	700	暖暖某次期末考试考了第一时妈妈奖励的衣服。很有纪念意义！		1	NO	1.0 	285,380	331,229
4029	1200	我想不出来给它写什么介绍，如果你有好的建议可以发邮件给我。没有大奖在等着你。		1	NO	1.0 	289,374	331,229
4030	1800	汉服的一部分，名叫中衣。汉服有好多部分大家要好好学习哦。		1	NO	1.0 	289,341	331,229
4031	4200	汉服的一部分，名叫袄。也不知道这介绍写的对不对……总之看这做工就不便宜！		1	NO	1.0 	289,341	331,229
4032	300	泡泡袖式衬衫，集青春甜美正经智慧知性于一身的完美上衣！		1	NO	1.0 	289,341	331,229
4033	4200	看上去像欧洲的古老款式，穿上它就一只脚迈进了上流社交圈。		1	NO	1.0 	289,369	331,229
4034	3300	虽然有Waiter的感觉，可它会提升逻辑和智慧属性。货真价实童叟无欺。		1	NO	1.0 	289,369	331,229
4035	2500	暖洋洋暖洋洋。暖暖怎么能错过这样的上衣？		1	NO	1.0 	289,341	331,229
4036	1200	据大喵说这件衣服是由草莓的鲜血染成的。		1	NO	1.0 	289,341	331,229
4037	1200	你觉得它很普通吗？错了！它来自爱琴海圣托里尼，蓝白色的天堂！		1	NO	1.0 	289,352	331,229
4038	4200	虽然你不知道什么时候该穿它，但是你一眼就能看出它的价值！		1	NO	1.0 	278,382	334,230
5001	1800	古人穿衣服确实很繁琐，这样的组合会不会在现代引领某种时尚？		1	NO	1.0 	331,341	397,387
5002	1200	拨开裙子上的灰尘仿佛在解开一个遥远年代的记忆封印。		1	NO	1.0 	336,332	397,387
5003	300	恭喜你获得一条活泼可爱舒适度满点的便宜裤裤！		1	NO	1.0 	334,322	397,387
5004	700	这是暖暖的妈妈用第一个月的打工钱买下的裤子，很有纪念意义。		1	NO	0.6 	281,339	397,387
5005	2500	你曾有一条这样的长裤吗？它还在你的衣橱里吗？		1	NO	0.7 	291,331	397,387
5006	300	妈妈的裤子，被暖暖误塞到她的衣橱里了。不要计较为什么要收三百……		1	NO	0.6 	281,339	397,387
5007	2500	买大喵时候送的。它和某件上衣某件外套很配哦，找到的话请AT我们微博。		1	NO	0.8 	317,320	397,387
5008	1200	“穿上它，然后赢得战争的胜利。我的女士。”		1	NO	0.7 	291,332	397,387
5009	2500	暖暖独自旅行的时候突然降温所以不得不买下的裤子。		1	NO	0.7 	291,331	397,387
5010	2500	很流行的小清新长裙，具有让人想坐在午后的咖啡馆写明信片的神奇力量。		1	NO	0.6 	276,352	397,387
5011	1200	汉服的一部分，名叫‘绔’，纨绔子弟的绔！		1	NO	1.0 	332,338	397,387
5012	4200	汉服中的‘裙’，多此一举了，大家都知道这是裙。但是现代也可以穿。		1	NO	0.6 	266,342	397,387
5013	2500	和姐姐一起在地摊上淘的裤子，质量似乎还不错。突显小腿线条。		1	NO	0.7 	291,331	397,387
5014	300	用窗帘做的长裙。收个窗帘的成本费不过分吧……		1	NO	0.7 	292,335	397,387
5015	700	老裁缝说：“这是一条经典的裤子，这是一种经久不衰的裤型。”		1	NO	1.0 	335,326	397,387
5016	1800	穿着它坐到草地里就看不到下身了吧。不要随便联想。		1	NO	0.7 	291,331	397,387
5017	1800	浪漫之神愿意实现你三个愿望。你说要完美的身材！于是他给了你这条短裤。		1	NO	1.0 	297,389	367,387
5018	1200	少女系的短裤。走到哪儿都让人眼前一亮的肤白嫩美的象征。		1	NO	1.0 	297,385	367,387
5019	3300	这条看上去好红火。红火就是青春的颜色。暴走吧！少女！		1	NO	1.0 	297,385	367,387
5020	3300	好短的热裤，不过是热裤的话就不会嫌短吧？是时候性感起来！		1	NO	1.0 	297,394	367,387
5021	1200	看质地好像是皮的，皮衣皮裙这种东西要藏起来不能被妈妈看见吧？		1	NO	1.0 	297,385	367,387
5022	300	在美少女战士风靡的时候老裁缝做了一大批这样的裙子，现在还在卖。		1	NO	1.0 	297,380	367,387
5023	0	据说这是暖暖嫌长裤太热所以把裤腿剪了改装而成的。		1	YES	1.0 	297,389	367,387
5024	3300	传说穿上这条裙子即使四十岁还可以去主持儿童节目。什么？你想要尾巴？		1	NO	1.0 	297,380	367,387
5025	3300	学园风的格子裤走到哪里都不显得突兀或者过时。		1	NO	1.0 	297,389	367,387
5026	700	穿着它的时候你时常会想为什么要穿上它的一种裙子。		1	NO	1.0 	297,376	367,387
5027	700	汉服中的‘衬裙’，白白的很纯洁，直接穿出去也会受欢迎。		1	NO	1.0 	297,384	367,387
5028	5000	传说东海边有座乐园之塔，塔顶的宝箱里放着一条有着华丽裤脚的短裤。		1	NO	1.0 	297,382	367,387
5029	2500	介绍得太多就不好玩了，你会知道这条裤子的意义的……		1	NO	1.0 	297,384	367,387
5030	0	你要穿过荒原，打败部落守卫，才能在溪流边的盒子里找到这条牛仔短裙。		1	YES	1.0 	297,384	367,387
5031	1200	宝蓝的裤子好像挺稀有的，但是有一种低调的华丽的感觉。		1	NO	1.0 	297,389	367,387
5032	700	这个料子看上去很滑的样子，好想摸一下。嗯，摸摸看……不是太滑呢。		1	NO	1.0 	297,384	367,387
5033	4200	在离时装周的场馆不远处的地摊上出售的“永不过时的时尚流行”。		1	NO	1.0 	297,385	367,387
5034	5000	顶级服装店的店员悄悄跟你说：“穿外套会破坏这条裙子的品味。”		1	NO	1.0 	297,394	367,387
5035	1800	暖暖第一次网购时拍下的裙子。拿到手的时候表情凝固了……		1	NO	1.0 	297,385	367,387
5036	300	如果暖暖是RPG的女主角，在打败大魔王后捡到这个短裤你会是什么表情？		1	NO	1.0 	297,385	367,387
5037	1800	半条牛仔裤，整条就要卖三千六了真的。		1	NO	1.0 	320,360	398,387
6001	600	据说姐姐当初差点把这双袜子抢过去，但得知被暖暖穿过后就放弃了。		1	NO	1.0 	287,368	317,734
6002	0	长期保持洁白是件很累的事。保持纯洁呢……？“不要随便联想。”暖暖说。		1	YES	1.0 	287,386	317,734
6003	2000	买猫粮时送的，不要问为什么猫粮上会绑双袜子，暖暖也不知道……		1	NO	1.0 	287,386	317,734
6004	1200	这是汉服中的……你猜是什么？没错，是‘袜’。		1	NO	1.0 	287,378	317,734
6005	600	普通的袜子。小女孩喜欢穿着它到处乱跑。它是看着暖暖长大的。		1	NO	1.0 	287,368	317,734
6006	1200	拉伸感很显腿型的袜子。超市里随处可见，可是我们这儿卖的比较贵。		1	NO	1.0 	297,317	336,595
6007	0	竖条纹会把腿显得很长。什么？你更想要黑丝？那你多玩一会儿吧。		1	YES	1.0 	297,317	336,595
6008	600	怎么说呢这双袜子好像黑色的人体彩绘。		1	NO	1.0 	297,317	336,595
6009	2000	很有质感的少女袜，少女的气息会让人心生怜惜，助你披风斩棘无往不利。		1	NO	1.0 	297,317	336,595
6010	1200	如果是养成游戏购买这双袜子就可以给暖暖增加魅力值。		1	NO	1.0 	297,326	336,595
6011	5500	这个蕾丝边是心灵手巧的暖暖自己加的哦。这份热情必须值这个价格！		1	NO	1.0 	297,317	336,595
6012	3000	蓝色的袜子是有点惹眼啦，不过还是推荐各位女生试试。		1	NO	1.0 	297,326	336,595
6013	3000	好像是哪位大师给千金小姐量身定做的袜子。这是一双复制品。		1	NO	1.0 	297,317	336,595
6014	3000	六个蝴蝶结代表着六种信仰，可爱，美丽，漂亮，漂亮，美丽，可爱。		1	NO	1.0 	297,317	336,595
6015	1200	浪漫之神的三个愿望，你要伟大的事业，他说：穿上它！站起来！拯救世界！		1	NO	0.8 	271,241	333,401
6016	600	说实在的连裤袜穿起来好不方便……但是很有魅力。六百绝对是福利。		1	NO	0.7 	251,321	333,401
6017	2000	这双袜子薄如蝉翼，是魔女的杰作之一。		1	NO	0.7 	251,331	333,401
6018	2000	你在别的换装游戏里见过这么性感的黑丝吗。哎哟，我有点不要脸了。		1	NO	0.8 	271,246	333,401
6019	3000	传说天使都穿着这样纯白如雪的连裤袜。		1	NO	0.7 	251,331	333,401
6020	4200	暖暖曾经穿着它一脚踹死大魔王。传奇就是传着传着就奇了的故事。		1	NO	0.8 	271,241	333,401
6021	4200	吊带袜让人们迷醉，疯狂，相思，相守。是很多浪漫故事的起点和终点。		1	NO	0.7 	250,323	333,401
6022	6800	也许你想买一双给自己或者给女朋友的终极漂亮袜子。		1	NO	0.8 	271,241	333,401
6023	8000	人类的三个永恒主题，爱情，战争，死亡都围绕着这样一双王族吊带袜。		1	NO	0.7 	251,331	333,401
6024	5500	这双网袜的网眼可以过滤掉幼年的小鱼。是一条环保的网袜。		1	NO	0.7 	251,331	333,401
7001	0	姐姐把这双鞋买回来的时候发现小了一码，很不舍得地送给了暖暖。		1	YES	1.0 	296,316	330,651
7002	4000	很有气场的长靴，店员说它来自欧洲小镇的一名老鞋匠之手。		1	NO	1.0 	297,345	330,651
7003	2500	穿这双鞋出去很容易被踩脏的吧……要避免去人挤人的场合。		1	NO	1.0 	297,354	330,651
7004	2000	由钢丝组成的鞋？！开个玩笑，缎带很可爱。		1	NO	1.0 	297,354	330,651
7005	1000	彩色系的，很像马戏团用品啊。颜色一定是为了吸引观众眼球吧。		1	NO	1.0 	296,322	330,651
7006	1500	如果被大喵看见了一定会用剪刀把鞋带剪断的。或者是用爪子？真令人捉急。		1	NO	1.0 	297,345	330,651
7007	2500	同样款式的靴子有两双，这双粉红色的贵在它难以被利器割断的鞋带上。		1	NO	1.0 	297,345	330,651
7008	1500	打开你的鞋柜一定有几双不起眼但是经常穿的鞋子。		1	NO	1.0 	296,318	330,651
7009	4000	它非常柔软，无论身在光明或黑暗，舞者都离不开这样一双鞋子。		1	NO	1.0 	296,318	330,651
7010	600	……这确定不是从姐姐的鞋柜里偷来的……雨鞋吗？我们的美术说这当然不是雨鞋。		1	NO	1.0 	297,345	330,651
7011	1000	这双鞋激发了你出去走走的冲动。那么，去参加登山比赛怎么样？		1	NO	1.0 	297,400	321,778
7012	0	因为数次被细高根崴了脚后暖暖决定买双粗根。		1	YES	1.0 	297,400	321,778
7013	1000	蓝色看上去很跳脱，同时这种颜色的鞋子也很少。恭喜你得到了稀有物品。		1	NO	1.0 	297,406	321,778
7014	2000	老式样的布鞋，现在有勇气穿它们的年轻人已经很少了。其实真挺舒服的。		1	NO	1.0 	297,400	321,778
7015	2000	人的生活中总得有双拖鞋，懒人的生活中全是拖鞋。		1	NO	1.0 	297,400	321,778
7016	300	好像巧克力，好想咬一口。巧克力牌凉鞋丝滑浓郁口口留香。		2	NO	1.0 	297,400	321,778
7017	4000	高根鞋穿累了偶尔要换平底的，这样走起路来就感觉身轻如燕了。……好像哪里不对？		1	NO	1.0 	297,400	321,778
7018	2000	长途旅行的时候你会需要这样一双鞋子，它被你丢在了青春的角落里。		1	NO	1.0 	297,406	321,778
7019	4000	当暖暖穿破了几双鞋子赢得登山比赛的时候发现大奖竟然是这样一双高跟鞋。		2	NO	1.0 	297,402	321,778
7020	1500	鞋子前端的蕾丝是从姐姐衣服上剪下来的。暖暖希望你不要说出去哦。		1	NO	1.0 	297,400	321,778
7021	1500	大喵说暖暖第一次穿的时候就把跟弄断了，现在的跟是后来装上去的。		2	NO	1.0 	297,410	321,778
7022	4800	它散发着致命的浪漫让你欲罢不能。穿上它，寻找它的伙伴，成为命运的主宰。		2	NO	1.0 	297,408	321,778
7023	300	穿上它你将迅捷如风，如电，如声音，如飞逝的时光。		1	NO	1.0 	297,400	321,778
