	1001	1002	1003	1004	1005	1006	1007	1008	1009	1010	1011	1012	1013	1014	1015	1016	1017	1018	1019	1020	1021	1022	1023	1024	1025	1026	1027	1028	1029	1030	1031	1032	1033	1034	1035	1036	1037	1038	1039	1040	1041	1042	1043	1044	1045	1046	1047	1048	1049	1050	1051	1052	1053	1054	1055	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2033	2034	2035	2036	2037	2038	2039	2040	2041	3001	3002	3003	3004	3005	3006	3007	3008	3009	3010	3011	3012	3013	3014	3015	4001	4002	4003	4004	4005	4006	4007	4008	4009	4010	4011	4012	4013	4014	4015	4016	4017	4018	4019	4020	4021	4022	4023	4024	4025	4026	4027	4028	4029	4030	4031	4032	4033	4034	4035	4036	4037	4038	5001	5002	5003	5004	5005	5006	5007	5008	5009	5010	5011	5012	5013	5014	5015	5016	5017	5018	5019	5020	5021	5022	5023	5024	5025	5026	5027	5028	5029	5030	5031	5032	5033	5034	5035	5036	5037	6001	6002	6003	6004	6005	6006	6007	6008	6009	6010	6011	6012	6013	6014	6015	6016	6017	6018	6019	6020	6021	6022	6023	6024	7001	7002	7003	7004	7005	7006	7007	7008	7009	7010	7011	7012	7013	7014	7015	7016	7017	7018	7019	7020	7021	7022	7023	7024	7025	7026	7027	7028	7029	7030	7031	7032	7033	7034	7035	7036	7037	7038	7039	7040	7041	7042	7043	7044	7045	7046	7047	7048	7049	7050	7051	7052	7053	7054	7055	7056	8001	8002	8003	8004	8005	8006	8007	8008	8009	8010	8011	8012	8013	8014	8015	8016	8017	8018	8019	8020	8021	8022	8023	8024	8025	8026	8027	8028	8029	8030	8031	8032	8033	8034	8035	8036	8037	8038	8039	8040	8041	8042	8043	8044	8045	8046	8047	8048	8049	8050	8051	8052	8053	8054	8055	8056	8057	8058
11	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	A	A	A	A	A	F	A	A	B	B	B	B	A	A	B	A	F	A	A	A	A	F	F	F	B	C	A	C	F	A	F	F	C	C	C	C	C	C	C	F	C	C	C	C	A	B	A	F	A	A	A	A	A	A	B	A	A	A	B	F	B	A	A	B	A	C	A	B	A	A	A	A	A	C	C	A	B	C	A	A	A	B	F	B	F	B	B	B	B	F	A	B	C	B	A	B	A	A	C	A	C	B	B	A	C	A	B	C	C	B	A	A	A	B	A	B	A	A	B	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	F	C	A	B	A	A	B	B	B	A	C	C	A	C	C	B	F	A	A	A	A	A	F	F	A	A	A	A	A	A	A	C	A	C	A	A	C	A	C	B	B	C	A	A	C	C	A	F	B	A	A	C	A	A	A	A	A	C	A	A	A	A	A	F	F	F	F	C	C	A	C	B	B	A	F	B	C	F	F	F	F	B	F	C	F	A	B	F	A	A	A	F	F	C	F	A	A	A	F	A	C	F	F	B	A	A	C	C	C	C	C	C	C	C	C	C
12	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	B	B	F	B	A	F	C	C	B	B	B	A	C	B	C	C	C	C	B	F	C	B	B	C	F	F	C	F	F	F	C	C	B	B	F	C	F	F	C	C	C	C	C	C	F	F	C	F	C	C	B	C	C	F	F	B	C	F	F	C	C	C	F	C	B	F	C	B	C	C	C	A	A	C	F	B	F	F	C	C	C	B	B	A	C	F	C	A	F	C	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	B	B	C	B	F	C	B	B	B	B	B	A	B	B	B	A	A	C	B	C	A	A	A	A	A	C	C	C	C	C	C	C	C	C	C	F	B	B	B	F	C	C	F	B	B	A	A	C	C	B	B	C	B	B	B	C	A	C	A	B	B	B	C	C	C	B	C	F	B	C	A	C	B	A	C	A	A	A	A	A	C	A	B	A	A	B	C	C	C	F	F	F	A	C	B	B	A	C	A	C	F	F	F	C	B	F	C	F	B	A	F	C	C	B	F	F	C	F	A	C	C	F	B	B	F	C	C	B	A	B	C	B	C	C	C	C	C	C	C
13	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	A	A	A	A	A	F	A	A	B	B	B	B	A	A	B	A	F	A	A	A	A	F	F	F	B	C	A	C	F	C	F	F	C	C	C	C	C	C	F	F	C	C	C	C	A	B	A	F	A	A	A	A	A	A	B	A	A	A	B	F	B	A	A	B	A	C	A	B	A	A	A	A	A	C	C	A	B	C	A	A	A	B	F	C	F	B	B	B	B	C	B	C	B	B	B	B	B	A	A	A	A	B	C	C	A	A	A	C	C	C	A	A	A	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	C	C	B	B	A	A	B	B	B	A	C	A	A	B	B	B	F	B	A	B	A	B	C	C	B	B	A	A	A	A	A	C	C	C	C	A	B	B	C	C	C	C	C	C	C	B	B	C	C	B	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	C	C	A	C	B	B	A	F	B	C	F	F	F	F	B	F	C	F	A	B	F	A	A	A	F	F	C	F	A	A	A	F	A	C	F	F	B	A	A	C	C	C	C	C	C	C	C	C	C
14	A	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	C	A	A	C	B	F	B	B	F	C	C	B	A	A	A	B	C	A	B	C	C	F	C	C	F	F	F	F	F	B	F	F	C	F	F	C	C	C	C	C	C	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	C	F	B	F	C	C	F	B	C	C	B	B	C	B	B	C	B	C	B	C	C	B	B	C	B	C	C	B	B	B	B	B	B	B	B	C	B	C	B	C	C	B	B	B	B	B	A	B	A	A	B	B	B	B	B	A	A	A	A	B	B	C	B	C	C	C	C	B	B	C	C	A	A	A	F	B	C	C	A	C	A	A	C	C	B	B	A	A	C	A	B	B	B	B	A	A	B	C	C	B	B	B	F	B	A	C	B	A	A	A	A	A	A	A	A	A	A	B	B	B	C	F	F	B	F	F	C	A	A	B	F	A	C	A	C	A	A	A	A	B	F	F	F	C	A	F	F	B	A	F	F	F	F	A	C	F	B	F	A	A	A	F	C	C	C	C	C	C	C	C	C	C	C	C
15	A	A	A	A	A	A	C	A	A	A	A	A	A	A	C	A	A	A	A	A	B	C	A	A	B	A	A	B	A	A	C	A	A	F	A	A	A	B	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	B	F	B	F	F	C	F	F	F	F	B	F	B	F	B	C	C	F	F	C	B	A	B	F	B	C	B	F	F	F	B	F	B	C	F	F	F	B	F	F	F	B	C	C	C	C	B	C	C	C	C	F	F	C	C	C	C	C	B	C	F	B	B	C	C	F	F	F	F	B	B	A	F	C	F	F	B	B	F	F	B	C	F	B	B	F	B	B	B	B	B	C	C	C	F	B	A	F	B	C	C	C	F	B	B	B	B	C	B	C	C	C	C	F	F	B	A	B	C	B	A	B	C	B	B	C	B	C	C	B	B	C	A	A	C	C	A	A	A	C	C	C	C	B	F	C	C	F	C	B	F	C	F	C	C	C	F	C	C	F	F	C	C	B	C	C	F	B	B	A	F	C	F	C	C	C	C	C	F	C	A	A	B	C	C	C	C	F	B	C	C	C	C	C	C	F	B	A	F	A	C	C	C	A	C	C	B	B	B	B	B	C	A	F	A	A	C	C	C	F	F	F	F	A	F	F	B	B	F	A	F	F	F	F	F	F	F	F	F	F	F	F	F	F	C	C	F	F	F	F	C	F	A	F	C	F	F	A	F	C	C	C	C	C	C	C	C	C	C	C
16	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	A	A	A	A	A	F	A	A	B	B	B	B	A	A	B	A	F	A	A	A	A	F	F	F	B	C	A	C	F	C	F	C	C	C	C	C	C	C	F	F	C	F	C	C	A	B	A	F	A	A	A	A	A	A	B	A	A	A	B	F	B	A	B	B	A	C	C	B	A	C	C	A	B	C	C	A	B	C	B	F	B	B	F	B	B	C	F	C	B	F	B	B	C	B	B	B	B	B	C	B	C	C	A	B	C	C	B	A	C	B	C	B	C	B	C	C	B	C	B	B	A	F	C	A	A	B	C	B	C	C	B	C	B	B	C	B	A	B	C	C	C	C	C	B	F	C	B	C	C	C	B	B	C	B	A	B	A	C	B	F	B	B	A	B	C	C	A	A	A	A	B	B	C	A	F	A	B	A	A	B	C	C	C	A	A	F	A	B	C	A	B	C	B	A	A	A	A	A	C	A	C	C	C	C	A	A	F	F	F	F	B	F	C	C	C	F	A	F	F	F	F	F	F	F	F	F	F	F	F	F	C	F	F	F	C	F	C	F	A	F	B	A	F	F	B	F	F	C	C	C	C	C	C	C	C	C	C
17	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	F	C	C	B	B	B	F	B	A	C	C	C	C	B	B	C	B	F	C	B	A	A	F	F	F	B	C	B	C	F	C	F	F	F	C	C	C	C	C	C	F	C	C	C	C	B	C	B	F	C	B	A	B	B	A	C	C	A	A	C	F	A	B	B	C	A	C	B	B	A	B	C	A	B	C	C	A	B	C	B	C	A	B	F	B	F	C	C	C	C	F	B	B	F	B	B	B	B	B	C	C	C	C	B	F	C	F	C	A	F	C	C	B	C	A	C	C	B	C	B	B	B	B	F	B	B	B	C	C	B	C	B	C	C	B	A	A	C	B	C	C	C	C	B	B	F	B	C	C	F	F	B	C	C	C	B	C	B	F	C	C	C	A	C	F	F	C	C	A	A	A	C	A	C	C	C	C	C	A	A	F	C	C	C	A	B	F	C	A	F	F	A	A	C	A	A	A	A	A	C	A	B	A	A	B	C	C	C	F	F	F	A	C	B	B	A	C	A	C	F	F	F	C	B	F	C	F	B	A	F	C	C	B	F	F	C	F	A	C	C	F	B	B	F	C	C	B	A	C	C	C	C	C	C	C	C	C	C
18	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	A	A	A	A	A	F	A	A	B	B	B	B	A	A	B	A	F	A	A	A	A	F	F	F	B	C	A	C	F	C	F	C	C	C	C	C	C	C	F	F	C	F	C	C	A	B	A	F	B	B	A	A	C	A	B	B	A	A	B	F	B	B	B	B	A	C	B	B	A	B	A	C	A	C	C	A	B	C	A	B	A	B	F	C	A	C	C	F	B	F	C	A	C	A	B	C	B	A	C	A	C	B	C	B	A	C	A	C	C	B	C	A	B	B	A	A	A	B	B	B	A	C	C	A	A	A	C	B	C	C	A	C	B	B	C	B	A	B	C	C	C	C	C	A	C	C	B	C	C	C	A	B	B	A	C	B	B	B	A	F	A	B	A	B	B	A	A	B	B	A	B	B	B	B	F	A	B	B	A	B	B	B	C	B	B	F	B	C	F	A	B	A	C	A	A	A	A	A	C	C	A	A	A	B	A	A	F	F	F	F	C	F	C	B	B	F	A	F	F	F	F	F	F	F	F	F	B	B	F	A	B	A	F	F	F	F	C	C	A	F	A	C	F	F	F	B	B	C	C	C	C	C	C	C	C	C	C
19	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	B	B	A	B	C	F	A	C	B	B	B	B	A	B	B	B	F	A	A	A	B	F	F	F	B	C	A	C	F	B	F	F	C	C	C	C	C	C	C	F	C	C	C	C	A	B	A	F	C	B	A	A	C	A	B	C	A	A	B	F	B	B	A	B	A	C	A	B	A	A	B	B	A	C	C	A	B	C	A	B	A	B	F	C	F	C	C	C	C	F	A	B	F	B	A	C	A	A	C	B	C	C	C	B	A	A	C	C	F	C	A	A	B	A	A	A	A	B	A	A	B	A	C	B	B	B	B	A	B	A	B	A	A	B	C	B	B	C	A	C	B	C	B	A	C	B	B	C	C	C	A	B	C	B	A	A	A	F	B	B	C	A	A	C	C	B	B	B	B	A	A	A	B	C	C	B	B	A	A	B	C	C	C	B	B	F	C	A	C	C	B	B	C	A	A	A	A	A	C	A	A	A	A	A	F	F	F	F	C	C	A	C	B	B	A	F	B	C	F	F	F	F	B	F	C	F	A	B	F	A	A	A	F	F	C	F	A	A	A	F	A	C	F	F	B	A	A	C	C	C	C	C	C	C	C	C	C
20	A	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	C	A	A	C	B	F	B	B	F	C	C	B	A	A	A	B	C	A	B	C	C	F	C	C	F	F	F	F	F	B	F	F	C	F	F	C	C	C	C	C	C	F	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	c	C	C	C	C	C	C	C	C	C	C	C	C	C	F	C	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	B	C	C	C	C	B	B	C	B	B	B	B	C	A	B	B	B	C	B	B	B	B	B	B	B	B	B	B	B	A	A	B	A	B	C	B	B	A	A	C	B	C	C	C	C	A	C	B	C	A	A	B	F	C	C	C	A	B	C	C	C	C	B	B	A	B	B	B	C	C	B	B	A	A	B	C	C	C	B	B	F	B	A	C	C	B	A	A	A	A	A	A	A	A	A	B	B	B	C	F	F	B	F	F	C	A	A	B	F	A	C	A	C	A	A	A	A	B	F	F	F	C	A	F	F	B	A	F	F	F	F	A	C	F	B	F	A	A	A	F	C	C	C	C	C	C	C	C	C	C	C	C
21	A	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	C	C	F	F	F	F	C	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	A	B	F	F	F	F	F	B	F	F	F	B	C	A	F	C	C	C	C	C	C	F	F	B	A	C	C	B	C	C	C	C	C	C	B	C	B	C	F	B	B	C	C	F	B	A	B	A	A	C	B	C	B	C	C	C	F	F	B	B	A	C	C	C	F	F	B	F	C	B	C	C	C	C	B	F	B	B	B	C	C	C	C	C	B	B	B	C	C	B	B	C	C	A	B	B	B	C	C	C	B	C	A	A	A	C	A	A	A	C	B	B	C	B	C	C	B	B	B	C	B	C	F	C	C	C	B	F	C	C	C	F	F	A	C	B	C	A	C	A	F	C	F	B	B	C	F	F	C	C	A	A	A	C	A	F	C	C	A	A	B	B	C	C	C	F	A	A	F	B	B	F	F	B	A	B	C	A	B	C	C	C	B	F	B	B	A	A	A	F	F	A	F	C	F	C	A	C	B	B	C	C	B	F	F	C	F	C	F	C	F	F	F	A	C	F	F	A	F	C	F	C	F	C	C	F	F	A	F	F	F	C	F	C	C	C	C	C	C	C
22	B	B	A	B	B	B	C	B	B	B	B	B	C	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	A	B	A	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	F	F	F	F	A	B	B	B	F	B	B	B	C	C	C	B	B	B	C	C	B	C	B	C	C	C	F	C	B	C	C	C	C	F	F	F	C	F	F	F	A	F	A	F	F	F	C	F	F	F	F	F	F	F	F	F	C	C	B	C	C	C	C	C	C	C	B	C	C	C	B	C	B	C	B	B	C	B	B	C	B	C	C	B	C	A	A	C	B	B	C	C	C	F	A	C	F	F	B	C	B	F	F	F	A	A	C	B	C	C	C	C	C	C	C	B	C	B	C	B	A	C	C	C	C	C	C	C	B	C	C	B	A	C	A	B	C	C	C	C	C	C	C	B	C	C	C	A	C	C	B	F	F	F	F	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	B	C	C	C	C	C	C	C	C	C	C	C	B	B	C	F	C	C	C	C	C	C	C	C	C	C	B	C	C	C	B	C	C	C	C	B	C	C	C	C	F	F	F	F	F	F	F	F	F	F	F	A	F	C	F	A	F	A	F	F	F	F	F	F	A	F	F	F	F	F	F	F	C	F	F	F	F	C	F	F	F	F	F	F	F	F	F	F	A	C	A	C	C	C	C	C	C	C
23	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	B	A	A	A	B	A	A	B	A	B	C	C	C	C	C	B	A	B	C	C	C	C	C	C	C	A	A	A	A	C	C	C	C	C	C	B	C	B	A	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	A	A	C	B	C	C	C	C	C	B	C	F	C	C	C	C	B	C	C	C	C	F	C	F	B	B	C	C	C	C	B	C	A	B	C	C	B	A	C	C	C	C	C	C	C	F	C	C	B	B	C	A	B	A	B	A	A	B	A	A	B	B	B	B	A	A	A	A	B	B	A	B	C	C	A	B	B	C	C	C	F	B	C	B	F	F	A	C	B	C	B	B	C	C	C	B	C	B	C	A	C	A	C	C	C	B	C	C	C	A	C	B	A	B	C	A	C	B	A	A	A	A	A	A	A	A	C	C	C	C	C	B	B	C	A	A	C	B	C	C	A	B	A	B	A	B	C	C	C	C	C	C	A	C	C	A	C	C	C	A	A	B	A	C	A	B	B	C	C	C	C	C	A	A	C	C	C	C	C	C	C	C	C	C
24	A	A	A	A	A	A	C	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	C	A	A	C	B	F	B	B	F	C	C	B	A	A	A	B	C	A	B	C	C	F	C	C	F	F	F	F	F	B	F	F	C	F	F	F	C	C	C	C	C	F	F	C	F	C	C	C	C	C	C	C	C	C	B	C	B	C	C	C	B	C	C	C	C	C	C	A	C	C	A	B	C	C	B	C	C	C	C	C	C	C	B	C	C	F	B	C	C	F	C	C	F	B	A	C	B	B	B	C	B	F	C	C	F	A	B	C	C	B	B	C	A	C	B	B	C	C	A	B	B	C	B	A	C	F	A	A	A	A	A	A	A	C	A	B	A	A	A	C	A	A	B	A	A	B	B	C	B	C	F	B	B	B	C	C	F	B	B	B	F	B	F	F	B	B	A	B	F	C	B	B	B	B	B	A	B	C	B	C	B	B	C	C	B	A	B	A	F	B	C	C	B	B	A	A	A	A	A	A	A	A	A	B	B	B	C	F	F	B	F	F	C	A	A	B	F	A	C	A	C	A	A	A	A	B	F	F	F	C	A	F	F	B	A	F	F	F	F	A	C	F	B	F	A	A	A	F	C	C	B	C	B	C	C	C	C	C	C	C
25	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	B	B	C	C	C	F	B	B	B	B	B	B	A	A	B	A	F	B	A	B	B	F	F	F	B	C	A	C	F	C	F	F	C	C	C	C	B	B	F	C	C	C	C	C	A	B	A	F	B	B	A	A	C	B	B	C	B	A	B	F	A	C	B	B	B	C	A	B	A	B	B	C	A	C	C	A	B	C	A	A	B	B	C	C	F	C	B	C	C	C	B	B	C	C	B	C	B	B	B	B	B	C	C	A	C	B	B	C	F	F	B	B	B	B	B	C	B	B	B	B	B	B	C	B	B	B	C	B	C	B	C	C	B	B	B	B	C	C	C	F	C	C	C	B	C	C	C	B	C	C	B	C	C	A	B	C	B	F	B	C	A	C	B	C	C	A	B	B	B	C	C	B	F	B	F	C	C	C	C	F	C	C	C	C	C	F	B	B	C	C	C	A	B	A	A	A	A	A	C	C	A	A	A	B	A	A	F	F	F	F	C	F	C	B	B	F	A	F	F	F	F	F	F	F	F	F	B	B	F	A	B	A	F	F	F	F	C	C	A	F	A	C	F	F	F	B	B	F	C	F	C	C	C	C	C	C	C
26	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	A	A	A	A	A	F	A	A	B	B	B	B	A	A	B	A	F	A	A	A	A	F	F	F	B	C	A	C	F	C	F	F	C	C	C	C	C	C	F	F	F	C	C	C	A	B	A	F	A	A	A	A	A	A	B	A	A	A	B	F	B	A	A	B	A	C	A	B	A	A	A	A	A	C	C	A	B	C	A	A	A	B	F	C	C	A	A	A	B	F	C	C	F	F	C	C	C	C	A	C	A	F	C	C	C	C	C	F	F	C	C	C	C	C	C	F	F	C	B	A	A	B	C	A	B	C	C	B	C	C	C	C	C	C	C	C	C	C	C	F	C	F	F	C	F	C	C	C	F	F	C	C	C	A	C	C	C	F	B	C	A	C	C	F	F	A	C	C	C	C	C	B	F	B	F	C	C	C	C	C	C	C	C	B	C	F	C	C	F	F	C	C	F	C	C	C	C	C	F	A	A	A	A	A	F	F	F	F	C	C	A	C	B	B	A	F	B	C	F	F	F	F	B	F	C	F	A	B	F	A	A	A	F	F	C	F	A	A	A	F	A	C	F	F	B	A	A	F	C	F	C	C	C	C	C	C	C
27	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	A	A	A	A	A	F	A	A	B	B	B	B	A	A	B	A	F	A	A	A	A	F	F	F	B	C	A	C	C	C	C	C	F	C	C	C	C	C	F	F	C	F	C	C	A	B	A	F	A	A	A	A	A	A	B	A	A	A	B	F	B	A	A	B	A	C	A	B	A	A	A	A	A	C	C	A	B	C	A	A	A	B	C	A	B	C	A	C	B	C	B	B	C	C	B	C	C	B	C	C	C	C	B	A	A	C	B	B	C	B	B	B	C	C	A	F	B	C	B	B	A	C	C	B	A	A	C	B	C	C	B	C	B	A	C	A	B	A	C	F	F	C	F	C	F	C	C	C	F	F	C	C	C	B	A	B	A	C	B	F	B	A	A	C	B	C	A	A	A	A	C	C	C	A	C	B	B	A	B	B	C	B	C	C	B	F	A	C	F	A	B	B	A	A	A	A	A	A	B 	A	A	A	A	A	A	A	F	F	F	C	A	C	B	B	A	F	A	C	F	F	F	F	B	F	C	F	C	B	F	B	B	B	F	F	C	F	B	B	A	F	A	F	F	F	A	B	A	C	C	C	C	C	C	C	C	C	C
28	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	A	A	A	A	A	F	A	A	B	B	B	B	A	A	B	A	F	A	A	A	A	F	F	F	B	C	A	C	F	F	F	C	F	F	F	C	F	C	F	F	F	F	C	F	A	B	A	F	A	A	A	A	A	A	B	A	A	A	B	F	B	A	A	B	A	C	A	B	A	A	A	A	A	C	C	A	B	C	A	A	A	B	F	C	B	C	C	C	B	F	C	C	B	C	C	C	B	C	B	C	B	C	F	C	B	A	B	F	C	A	B	C	B	B	A	A	A	B	C	B	B	A	C	B	B	B	C	B	C	A	B	A	A	C	C	C	C	C	A	B	A	C	C	B	C	C	C	A	C	C	C	B	B	C	B	B	C	B	C	C	B	B	A	B	C	C	A	A	A	B	C	C	C	A	C	A	C	B	C	C	C	A	B	C	A	F	B	C	C	A	C	A	C	A	A	A	A	A	C	B	A	A	A	B	A	A	C	A	A	C	A	C	B	A	B	F	C	C	F	F	F	C	B	F	C	F	A	B	F	A	A	A	F	F	B	F	C	A	A	F	A	F	F	F	C	A	A	C	C	C	C	C	C	C	C	C	C
29	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	F	C	C	B	B	B	F	B	A	C	C	C	C	B	B	C	B	F	C	B	A	A	F	F	F	B	C	B	C	F	C	F	F	C	B	C	C	C	C	B	F	F	F	F	C	B	C	B	F	B	B	A	A	A	A	C	A	A	A	C	F	A	A	A	C	A	C	A	B	A	A	A	A	A	C	C	A	B	C	A	A	A	B	F	C	C	A	A	A	C	B	C	F	C	F	C	F	C	C	A	C	A	C	F	C	C	C	C	F	F	F	C	F	C	C	C	F	F	C	C	B	A	C	F	A	A	B	B	B	B	B	B	B	B	B	C	C	B	C	C	F	C	F	F	C	F	C	F	C	F	F	C	C	F	A	C	C	C	F	C	C	A	C	C	C	C	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	F	C	C	F	F	C	A	C	A	A	A	A	A	C	A	B	A	A	B	C	C	C	F	F	F	A	C	B	B	A	C	A	C	F	F	F	C	B	F	C	F	B	A	F	C	C	B	F	F	C	F	A	C	C	F	B	B	F	C	C	B	A	C	C	C	C	C	C	C	C	C	C
30	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	B	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	A	F	F	F	F	F	F	F	F	F	F	F	B	A	A	A	A	A	F	A	A	B	B	B	B	A	A	B	A	F	A	A	A	A	F	F	F	B	C	A	C	F	C	F	F	C	B	C	C	C	C	B	C	C	C	C	C	A	B	A	F	A	A	A	A	A	A	B	A	A	A	B	F	B	A	A	B	A	C	A	B	A	A	A	A	A	C	C	A	B	C	A	A	A	B	F	C	F	A	A	A	C	A	B	C	C	C	A	C	A	A	A	C	A	C	F	C	B	C	B	F	F	F	B	C	C	C	B	F	C	B	B	B	B	A	F	A	C	B	B	B	B	C	B	C	C	C	B	C	B	F	C	F	C	F	F	B	B	C	C	C	C	C	B	C	A	A	C	C	B	F	A	F	A	F	B	F	F	A	B	C	B	C	C	B	F	B	F	C	B	C	C	F	B	B	F	C	C	F	C	B	F	C	C	A	B	A	A	A	A	A	B 	A	A	A	A	A	F	F	F	F	C	C	A	C	B	B	A	F	B	C	F	F	F	F	B	F	C	F	A	B	F	A	A	A	F	F	C	F	A	A	A	F	A	C	F	F	B	A	A	B	C	B	C	C	C	C	C	C	C
