编号	价格	描述	入手条件	几部分	已购	衣服说明中的缩放比例	衣服说明坐标	真实坐标（右上角）
7101	500	长途跋涉最需要这样舒适的鞋子。		1	NO	1	426,588	454,80
7102	3000	虽然看上去像拖鞋，不过一定不能马虎相搭配的衣服哦~		1	NO	1	426,588	454,80
7103	5000	姐姐花大价钱从精品店买来的鞋子，闲太小忍痛送给了暖暖。		1	NO	1	426,588	454,80
7104	5000	店员告诉暖暖说这双鞋具有魔法，不过暖暖至今没有发现鞋子里面的机关。		1	NO	1	426,630	454,80
8100	9999999	想要尝试变成精灵族吗？这副耳朵可以帮助你实现愿望。	95S	2	NO	1	420,324	454,80
8101	3000	可爱的护士帽，快点找找有没有与它搭配的护士服。		1	NO	1	442,376	454,80
8102	3000	暖暖在跳蚤市场上淘来的，据说戴上它能让人变身绅士。		1	NO	1	420,324	454,80
8103	3000	你说要变得低调些？快点带上这副墨镜。糟了！好像更高调了。		1	NO	1	420,324	454,80
8104	9999999	由于硬礼帽不能折起来，暖暖一直为如何携带它而苦恼着。	成就4	1	NO	1	442,376	454,80
8105	3000	可爱的毛绒耳罩——冬日必备！		2	NO	1	442,376	454,80
8106	5000	据说是登山神器之一的登山帽，不过暖暖至今没有发现它保暖以外的用途。		2	NO	1	418,232	454,80
8107	3000	大圆框眼睛，你以为是在cos阿拉蕾吗！？		1	NO	1	420,324	454,80
8108	9999999	看到带子的时候，总想要把它系个蝴蝶结。	成就6	1	NO	1	420,290	454,80
8109	3000	蝴蝶结领结，配合正装会有意想不到的效果哦~		1	NO	1	420,290	454,80
8110	9999999	有些民族风特色的腰带，有什么衣服能够hold住它吗？	成就8	1	NO	1	384,94	454,80
8111	3000	棕榈叶造型项链，适合戴着它去海边。		1	NO	1	420,290	454,80
8112	3000	暖暖忘了店员交给她的蝴蝶结系法，于是就悲剧了……		1	NO	1	442,376	454,80
8113	3000	眼镜的一大魔法就是能够令你的智慧度即刻上升！		1	NO	1	420,324	454,80
8114	9999999	提升智慧度的眼睛，蓝色款更添俏皮。	成就8	1	NO	1	420,324	454,80
8115	3000	戳进去你会发现这只是一副装饰眼睛哦~“快住手，要戳到眼睛了！”		1	NO	1	420,324	454,80
8116	5000	暖暖很喜欢的帽子，虽然大喵觉得系成蝴蝶结的缎带给人一种花痴的感觉。		1	NO	1	442,370	454,80
8117	3000	“这个发饰到底是怎么固定到头发上的？”“不要纠结毫无意义的问题！”		1	NO	1	370,312	454,80
8118	9999999	“帽子帽子，世界上最有魔力的人是谁？”“……”	95S	1	NO	1	442,400	454,80
